id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
100,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
1000,closed,yibuyisheng,volunter,kevinsawicki,employee,0,0,null,null,null
10003,closed,poiru,volunter,poiru,volunter,0,0,null,null,null
10004,closed,TiagoDanin,volunter,zeke,employee,2,0,null,null,null
10008,closed,qazbnm456,volunter,kevinsawicki,employee,4,2,0,0,3
10015,closed,kevinsawicki,employee,kevinsawicki,employee,3,0,null,null,null
1002,closed,zcbenz,employee,zcbenz,employee,15,0,null,null,null
10029,closed,gerhardberger,volunter,null,volunter,26,0,null,null,null
10046,closed,omerfarukozdemir,volunter,kevinsawicki,employee,0,0,null,null,null
10048,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
10049,closed,zeke,employee,kevinsawicki,employee,0,0,null,null,null
10050,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
10052,closed,poiru,volunter,zcbenz,employee,69,1,0,1,67
10053,closed,alespergl,volunter,alespergl,volunter,4,0,null,null,null
10058,closed,zeke,employee,zeke,employee,0,0,null,null,null
10062,closed,joe-re,volunter,zeke,employee,6,0,null,null,null
10070,closed,zcbenz,employee,zcbenz,employee,10,0,null,null,null
10071,closed,joshaber,employee,kevinsawicki,employee,1,0,null,null,null
10075,closed,alexstrat,volunter,zcbenz,employee,3,0,null,null,null
10076,closed,alexstrat,volunter,zcbenz,employee,55,2,0,55,0
10081,closed,renaesop,volunter,zcbenz,employee,26,4,23,0,3
10085,closed,zeke,employee,zeke,employee,4,0,null,null,null
10089,closed,AndreasM-Avd26,volunter,null,volunter,0,0,null,null,null
1009,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
10090,closed,3n-mb,volunter,null,volunter,149,7,128,0,20
10091,closed,3n-mb,volunter,null,volunter,0,0,null,null,null
10092,closed,3n-mb,volunter,null,volunter,74,0,null,null,null
10097,closed,liusy182,volunter,poiru,volunter,3,0,null,null,null
10099,closed,zcbenz,employee,zcbenz,employee,6,0,null,null,null
101,closed,zcbenz,employee,zcbenz,employee,4,0,null,null,null
10103,closed,fab1an,volunter,zeke,employee,1,0,null,null,null
10111,closed,alexeykuzmin,volunter,null,volunter,13,0,null,null,null
10113,closed,lsegal,volunter,zeke,employee,0,0,null,null,null
10114,closed,jkleinsc,employee,null,volunter,0,0,null,null,null
10116,closed,zeke,employee,jkleinsc,employee,0,0,null,null,null
10125,closed,codebytere,employee,codebytere,employee,0,4,0,0,0
10126,closed,jkleinsc,employee,jkleinsc,employee,1,0,null,null,null
10127,closed,zeke,employee,zeke,employee,0,0,null,null,null
10131,closed,alopix,volunter,zeke,employee,0,0,null,null,null
10133,closed,MarshallOfSound,volunter,zeke,employee,0,0,null,null,null
10136,closed,robinwassen,volunter,null,volunter,33,0,null,null,null
10137,closed,miniak,volunter,null,volunter,11,3,0,0,11
10138,closed,zeke,employee,jkleinsc,employee,1,0,null,null,null
10142,closed,MarshallOfSound,volunter,jkleinsc,employee,34,4,13,0,20
10143,closed,alespergl,volunter,alespergl,volunter,0,0,null,null,null
10148,closed,jkleinsc,employee,zcbenz,employee,2,0,null,null,null
10150,open,MarshallOfSound,volunter,null,volunter,null,12,0,44,null
10157,closed,runinspring,volunter,vanessayuenn,employee,5,0,null,null,null
1016,closed,zcbenz,employee,zcbenz,employee,1,0,null,null,null
10160,closed,liusy182,volunter,jkleinsc,employee,8,0,null,null,null
10161,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
10162,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
10164,closed,jkleinsc,employee,zeke,employee,1,0,null,null,null
10166,closed,zeke,employee,jkleinsc,employee,1,0,null,null,null
10172,closed,vanessayuenn,employee,vanessayuenn,employee,7,8,2,0,4
10173,closed,zeke,employee,vanessayuenn,employee,0,0,null,null,null
10175,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
10181,closed,kevinsawicki,employee,jkleinsc,employee,0,0,null,null,null
10183,closed,andens,volunter,zcbenz,employee,14,6,0,11,2
10187,closed,saschagehlich,volunter,null,volunter,137,0,null,null,null
1019,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
10190,closed,zeke,employee,zeke,employee,1,0,null,null,null
10191,closed,codebytere,employee,zeke,employee,56,14,52,4,1
10194,closed,alexeykuzmin,volunter,null,volunter,3,0,null,null,null
10198,closed,zeke,employee,null,volunter,4,0,null,null,null
10203,closed,zcbenz,employee,null,volunter,3,0,null,null,null
10204,closed,zcbenz,employee,jkleinsc,employee,0,0,null,null,null
10205,closed,HAMIDx9,volunter,null,volunter,0,0,null,null,null
10207,closed,alespergl,volunter,null,volunter,0,0,null,null,null
10209,closed,jkleinsc,employee,jkleinsc,employee,0,0,null,null,null
10210,closed,smildlzj,volunter,null,volunter,0,0,null,null,null
10213,closed,alexeykuzmin,volunter,codebytere,employee,108,19,95,3,9
10214,closed,psh0628,volunter,zeke,employee,21,6,0,0,20
10215,closed,alexeykuzmin,volunter,zeke,employee,20,6,6,3,10
10217,closed,zcbenz,employee,null,volunter,0,0,null,null,null
10219,closed,HAMIDx9,volunter,zcbenz,employee,14,0,null,null,null
10221,closed,MarshallOfSound,volunter,null,volunter,132,1,0,132,0
10223,closed,ajmacd,volunter,zcbenz,employee,1,0,null,null,null
10225,closed,zeke,employee,zeke,employee,0,3,0,0,0
1023,closed,dcposch,volunter,null,volunter,0,0,null,null,null
10230,closed,zeke,employee,jkleinsc,employee,2,0,null,null,null
10232,closed,felixrieseberg,volunter,MarshallOfSound,volunter,14,8,13,0,0
10246,closed,zeke,employee,jkleinsc,employee,0,0,null,null,null
10247,closed,liusy182,volunter,null,volunter,8,4,1,7,0
10250,closed,zeke,employee,zeke,employee,2,0,null,null,null
10251,closed,leo,volunter,zeke,employee,9,14,4,0,5
