id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
3011,open,Sliptory,volunter,null,volunter,null,1,0,2,null
3009,closed,dutchscout,volunter,ttaylorr,employee,0,3,1,0,1
3008,closed,nusasara,volunter,ttaylorr,employee,0,5,1,0,1
3007,open,TingluoHuang,volunter,null,volunter,null,0,null,null,null
3006,closed,gbasin,volunter,gbasin,volunter,0,2,1,0,1
3005,open,yutamago,volunter,null,volunter,null,1,0,1,null
3004,open,krassik,volunter,null,volunter,null,2,1,1,null
3003,closed,volotom,volunter,ttaylorr,employee,2,3,0,2,0
3002,open,artuntun,volunter,null,volunter,null,1,0,2,null
3001,closed,WilliamBotura,volunter,ttaylorr,employee,0,2,0,0,0
3000,open,awmcclain,volunter,null,volunter,null,2,0,0,null
2999,closed,GVinkovic,volunter,ttaylorr,employee,0,1,0,0,0
2998,closed,tysonzero,volunter,ttaylorr,employee,1,1,0,1,0
2993,closed,niik,employee,ttaylorr,employee,0,1,0,0,0
2992,closed,ensc,volunter,ttaylorr,employee,0,1,0,0,0
2991,closed,jomark-t,volunter,ttaylorr,employee,1,2,2,1,2
2990,closed,jbstewart,volunter,ttaylorr,employee,1,1,0,1,0
2989,closed,volotom,volunter,ttaylorr,employee,2,9,0,0,1
2988,closed,ppKrauss,volunter,ttaylorr,employee,7,7,4,2,0
2987,closed,gitFJUIM,volunter,ttaylorr,employee,0,6,0,0,0
2986,closed,Jura-Z,volunter,ttaylorr,employee,0,1,0,0,0
2984,open,agunnerson-ibm,volunter,null,volunter,null,4,4,0,null
2981,closed,teebszet,volunter,ttaylorr,employee,0,1,0,0,0
2731,closed,Aketzu,volunter,ttaylorr,employee,0,1,0,0,0
2729,closed,TingluoHuang,volunter,ttaylorr,employee,1,1,0,1,0
2728,open,technoweenie,volunter,null,volunter,null,1,0,35,null
2727,closed,Ridha-ELB,volunter,technoweenie,volunter,1,2,0,0,0
2726,closed,HosseinAssaran,volunter,ttaylorr,employee,154,6,12,3,139
2725,closed,thebigfootsdad,volunter,technoweenie,volunter,2,1,0,2,0
2724,closed,lucananni93,volunter,ttaylorr,employee,40,2,36,3,0
2723,closed,Permafacture,volunter,ttaylorr,employee,39,5,39,0,0
2720,closed,tarioch,volunter,ttaylorr,employee,34,4,34,0,0
2718,closed,npkhoa2197,volunter,npkhoa2197,volunter,0,0,null,null,null
2717,closed,jextrevor,volunter,ttaylorr,employee,45,1,0,1,43
2714,closed,fabriziocucci,volunter,ttaylorr,employee,12,0,null,null,null
2713,closed,fabriziocucci,volunter,ttaylorr,employee,12,0,null,null,null
2712,closed,technoweenie,volunter,ttaylorr,employee,120,5,74,45,0
2711,closed,technoweenie,volunter,technoweenie,volunter,0,0,null,null,null
2710,open,rrama,volunter,null,volunter,null,3,74,0,null
2707,closed,nudelfabrik,volunter,technoweenie,volunter,0,0,null,null,null
2705,closed,aleb,volunter,ttaylorr,employee,49,1,0,49,0
2703,closed,jsilverman-blispay,volunter,jsilverman-blispay,volunter,0,3,1,0,0
2702,closed,borisvu,volunter,ttaylorr,employee,42,3,42,0,0
2701,closed,chiuan,volunter,chiuan,volunter,0,1,0,0,0
2697,closed,jsilverman-blispay,volunter,jsilverman-blispay,volunter,0,2,0,0,0
2696,closed,semenov82,volunter,semenov82,volunter,0,2,0,0,0
2694,open,zakharovvi,volunter,null,volunter,null,6,53,0,null
2693,closed,TTimo,volunter,TTimo,volunter,5,2,5,0,0
2690,closed,technoweenie,volunter,technoweenie,volunter,5,1,0,0,4
2688,closed,sgoo,volunter,ttaylorr,employee,41,3,35,5,0
2686,closed,technoweenie,volunter,technoweenie,volunter,7,0,null,null,null
2685,closed,zezba9000,volunter,zezba9000,volunter,1,3,1,0,0
2684,open,pascalrobert,volunter,null,volunter,null,6,120,3,null
2683,open,kainjow,volunter,null,volunter,null,1,0,5,null
2682,closed,SamiGhanim,volunter,SamiGhanim,volunter,0,1,0,4,4
2681,closed,Yahyabulle,volunter,technoweenie,volunter,18,1,0,18,0
2680,closed,Yahyabulle,volunter,Yahyabulle,volunter,0,0,null,null,null
2679,closed,StanislawAntol,volunter,ttaylorr,employee,55,6,71,0,15
2677,closed,kainjow,volunter,technoweenie,volunter,8,1,0,0,7
2675,closed,lukaswagner,volunter,lukaswagner,volunter,0,2,0,0,0
2671,open,RoyAwesome,volunter,null,volunter,null,22,114,0,null
2670,closed,carlg1,volunter,technoweenie,volunter,1,1,0,1,0
2669,open,cukiakimani,volunter,null,volunter,null,3,3,0,null
2668,closed,thortillas,volunter,thortillas,volunter,1,2,0,0,0
2667,closed,Morfego,volunter,Morfego,volunter,2,11,182,1,181
2665,closed,BruceGreene,volunter,technoweenie,volunter,0,1,0,0,0
