id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
1446,open,rianadon,volunter,null,volunter,null,0,null,null,null
1445,open,Place1,volunter,null,volunter,null,0,null,null,null
1442,open,TimvdLippe,volunter,null,volunter,null,0,null,null,null
1441,closed,bestony,volunter,bestony,volunter,27,1,0,27,0
1440,open,lrosser,volunter,null,volunter,null,0,null,null,null
1439,open,teonivalois,volunter,null,volunter,null,0,null,null,null
1438,open,jaydhary14,volunter,null,volunter,null,0,null,null,null
1436,open,rektide,volunter,null,volunter,null,0,null,null,null
1435,closed,PEPEInvest,volunter,mose,volunter,0,0,null,null,null
1434,closed,kavya05,volunter,kavya05,volunter,5,2,0,0,4
1433,open,tedsc,volunter,null,volunter,null,3,46,0,null
1432,open,meirinaldojunior,volunter,null,volunter,null,2,0,28,null
1431,open,strowk,volunter,null,volunter,null,0,null,null,null
1430,open,kavya05,volunter,null,volunter,null,0,null,null,null
1424,open,napiera,volunter,null,volunter,null,0,null,null,null
1423,open,zhengsh,volunter,null,volunter,null,0,null,null,null
1422,open,vivekpatani,volunter,null,volunter,null,0,null,null,null
1421,closed,ileathan,volunter,mose,volunter,2,2,2,0,0
1420,open,inkWave,volunter,null,volunter,null,1,0,38,null
1419,open,orlando9006,volunter,null,volunter,null,1,0,39,null
1417,closed,yujmo,volunter,yujmo,volunter,0,1,0,0,0
1159,closed,khoi-thinh,volunter,khoi-thinh,volunter,6,21,6,0,0
1158,closed,mklemme,volunter,bkeepers,employee,402,2,396,6,0
1157,closed,khoi-thinh,volunter,khoi-thinh,volunter,7,6,4,0,2
1156,closed,tonybaloney,volunter,bkeepers,employee,413,1,0,413,0
1153,closed,twellspring,volunter,stale[bot],bot,443,5,434,0,8
1152,closed,marceloslacerda,volunter,bkeepers,employee,405,2,405,0,0
1146,closed,khoi-thinh,volunter,khoi-thinh,volunter,12,0,null,null,null
1145,closed,khoi-thinh,volunter,khoi-thinh,volunter,12,0,null,null,null
1144,closed,dylanh724,volunter,bkeepers,employee,411,1,0,2,408
1143,closed,pchaigno,volunter,pchaigno,volunter,7,7,6,0,0
1141,closed,portgasd666,volunter,bkeepers,employee,413,3,413,0,0
1140,closed,vikaskedia,volunter,stale[bot],bot,530,5,522,0,7
1139,closed,KasperDeng,volunter,bkeepers,employee,428,1,0,428,0
1138,closed,gasolin,volunter,stale[bot],bot,559,20,541,11,7
1137,closed,fanhengxing,volunter,bkeepers,employee,426,3,405,21,0
1132,closed,jackolney,volunter,jackolney,volunter,453,4,0,453,0
1131,closed,preynal,volunter,technicalpickles,employee,468,3,464,4,0
1129,closed,john-grandy-opentable,volunter,stale[bot],bot,488,7,503,16,31
1126,closed,kengz,volunter,stale[bot],bot,495,3,484,1,8
1125,closed,astus08,volunter,technicalpickles,employee,5,3,3,2,0
1124,closed,chrispeterson3,volunter,chrispeterson3,volunter,21,4,344,21,344
1118,closed,pholleran,employee,technicalpickles,employee,0,9,606,0,606
1117,closed,kengz,volunter,kengz,volunter,0,2,0,0,0
1113,closed,technicalpickles,employee,stale[bot],bot,516,1,0,507,8
1112,closed,clayreimann,volunter,stale[bot],bot,516,7,524,0,7
1108,closed,CezaryRynkowski,volunter,CezaryRynkowski,volunter,131,6,159,0,29
1107,closed,radeksimko,volunter,stale[bot],bot,518,4,507,2,8
1105,closed,gotchahn,volunter,bkeepers,employee,504,1,0,2,501
1102,closed,glensc,volunter,stale[bot],bot,537,3,507,20,8
1100,closed,technicalpickles,employee,technicalpickles,employee,33,2,33,0,0
1098,open,technicalpickles,employee,stale[bot],bot,null,5,531,0,null
1096,closed,viruscmd,volunter,technicalpickles,employee,28,0,null,null,null
1093,closed,pchaigno,volunter,stale[bot],bot,556,4,547,0,8
1089,closed,it33,volunter,technicalpickles,employee,61,4,60,0,0
1088,closed,cycomachead,volunter,bkeepers,employee,528,5,527,1,0
1087,open,sankethkatta,volunter,stale[bot],bot,null,7,738,0,null
1086,closed,douglasduteil,volunter,technicalpickles,employee,67,11,67,0,0
1085,closed,framerate,volunter,mose,volunter,547,8,529,17,0
1084,closed,ecerta,volunter,technicalpickles,employee,56,3,56,0,0
1082,open,technicalpickles,employee,stale[bot],bot,null,4,582,0,null
1080,closed,sggncucumber,volunter,technicalpickles,employee,59,7,537,0,477
1079,closed,ravikiranj,volunter,technicalpickles,employee,196,3,0,0,196
1078,closed,renanvicente,volunter,stale[bot],bot,582,16,573,0,8
1076,closed,jeremybras,volunter,technicalpickles,employee,67,1,0,0,67
1075,closed,webhamm,volunter,stale[bot],bot,588,9,596,0,7
1072,closed,JensDebergh,volunter,JensDebergh,volunter,0,11,12,0,12
1071,closed,joanrodriguez,volunter,technicalpickles,employee,74,2,33,40,0
1070,closed,technicalpickles,employee,michaelansel,volunter,3,2,3,0,0
1067,closed,webhamm,volunter,michaelansel,volunter,0,1,0,0,0
1064,closed,CrazyPython,volunter,technicalpickles,employee,99,1,0,99,0
1063,open,technicalpickles,employee,stale[bot],bot,null,5,916,0,null
1062,closed,technicalpickles,employee,stale[bot],bot,713,6,614,92,7
1061,closed,jamespwright,volunter,bkeepers,employee,571,18,571,0,0
1060,closed,ecnepsnai,volunter,technicalpickles,employee,95,1,0,95,0
1059,closed,lilnate22,volunter,mose,volunter,590,3,590,0,0
1058,closed,technicalpickles,employee,stale[bot],bot,621,1,0,612,8
1057,open,technicalpickles,employee,stale[bot],bot,null,9,37,612,null
1055,closed,technicalpickles,employee,technicalpickles,employee,639,7,632,0,6
1053,closed,callumacrae,volunter,bkeepers,employee,590,7,590,0,0
1051,closed,cycomachead,volunter,stale[bot],bot,631,12,612,9,8
1047,closed,oinirio,volunter,oinirio,volunter,25,1,0,0,25
1046,closed,praseodym,volunter,stale[bot],bot,722,5,591,123,7
1045,closed,WillPresley,volunter,WillPresley,volunter,0,2,0,0,0
