id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
1000,closed,J-tt,volunter,null,volunter,15,0,null,null,null
1003,closed,sdimkov,volunter,technicalpickles,employee,50,0,null,null,null
1004,closed,sdimkov,volunter,technicalpickles,employee,11,1,0,0,11
1005,closed,bkeepers,employee,bkeepers,employee,11,0,null,null,null
1006,closed,jennifersmith,volunter,michaelansel,volunter,1,0,null,null,null
1007,closed,MyvarHD,volunter,michaelansel,volunter,2,0,null,null,null
101,closed,allanca,volunter,null,volunter,0,6,3,0,2
1011,closed,sdimkov,volunter,technicalpickles,employee,21,0,null,null,null
1012,closed,alininja,volunter,technicalpickles,employee,77,2,18,0,59
1016,closed,michaelansel,volunter,michaelansel,volunter,0,0,null,null,null
1017,closed,kristenmills,volunter,michaelansel,volunter,3,0,null,null,null
1019,closed,bhuga,volunter,technicalpickles,employee,19,53,21,0,1
1020,closed,bhuga,volunter,michaelansel,volunter,9,0,null,null,null
1021,closed,bhuga,volunter,bhuga,volunter,98,6,40,56,0
1025,closed,sharabash,volunter,null,volunter,731,0,null,null,null
1028,closed,michaelansel,volunter,michaelansel,volunter,0,2,0,0,0
1029,closed,michaelansel,volunter,null,volunter,159,0,null,null,null
103,closed,djl,volunter,atmos,volunter,0,2,0,0,0
1030,closed,michaelansel,volunter,michaelansel,volunter,0,0,null,null,null
1031,closed,michaelansel,volunter,null,volunter,728,0,null,null,null
1032,closed,michaelansel,volunter,technicalpickles,employee,9,0,null,null,null
1033,closed,bkeepers,employee,technicalpickles,employee,2,0,null,null,null
1035,closed,technicalpickles,employee,technicalpickles,employee,0,0,null,null,null
1037,closed,michaelansel,volunter,michaelansel,volunter,0,0,null,null,null
1038,closed,bhuga,volunter,bhuga,volunter,0,0,null,null,null
1039,closed,danielcompton,volunter,technicalpickles,employee,0,0,null,null,null
104,closed,victorcoder,volunter,atmos,volunter,0,0,null,null,null
1041,closed,davidkassa,volunter,technicalpickles,employee,40,0,null,null,null
1042,closed,xuoe,volunter,technicalpickles,employee,0,0,null,null,null
1043,closed,zitterbewegung,volunter,null,volunter,0,0,null,null,null
1048,closed,bhuga,volunter,null,volunter,70,0,null,null,null
1049,closed,doque,volunter,michaelansel,volunter,0,0,null,null,null
1050,closed,scboucher,volunter,null,volunter,27,0,null,null,null
1052,closed,technicalpickles,employee,technicalpickles,employee,126,0,null,null,null
1054,closed,gregkare,volunter,null,volunter,119,0,null,null,null
1056,closed,brodul,volunter,null,volunter,773,0,null,null,null
106,closed,cldwalker,volunter,null,volunter,0,1,0,0,0
1065,closed,bhuga,volunter,null,volunter,99,0,null,null,null
1066,closed,CrazyPython,volunter,null,volunter,0,0,null,null,null
1068,closed,scboucher,volunter,michaelansel,volunter,9,1,0,0,9
1069,closed,technicalpickles,employee,bhuga,volunter,22,0,null,null,null
1073,closed,Floby,volunter,null,volunter,0,0,null,null,null
1074,closed,msabramo,volunter,michaelansel,volunter,0,1,0,0,0
1077,closed,scboucher,volunter,michaelansel,volunter,10,0,null,null,null
1081,closed,bhuga,volunter,technicalpickles,employee,69,0,null,null,null
1083,closed,bhuga,volunter,bhuga,volunter,0,0,null,null,null
1090,closed,heitorlessa,volunter,null,volunter,60,0,null,null,null
1091,closed,jtc9921,volunter,null,volunter,44,0,null,null,null
1092,closed,jbick,volunter,technicalpickles,employee,44,0,null,null,null
1094,closed,mdelagrange,volunter,technicalpickles,employee,35,0,null,null,null
1095,closed,kauffecup,volunter,technicalpickles,employee,40,0,null,null,null
1097,closed,ellisv,volunter,technicalpickles,employee,27,0,null,null,null
1099,closed,philnash,volunter,technicalpickles,employee,22,0,null,null,null
110,closed,mexitek,volunter,atmos,volunter,1,9,1,0,0
1101,closed,cycomachead,volunter,technicalpickles,employee,21,0,null,null,null
1103,closed,aqnouch,volunter,technicalpickles,employee,7,0,null,null,null
1104,closed,pchaigno,volunter,null,volunter,7,0,null,null,null
1106,closed,gotchahn,volunter,bkeepers,employee,504,4,14,0,489
1109,closed,technicalpickles,employee,technicalpickles,employee,11,1,0,55,44
111,closed,OiNutter,volunter,atmos,volunter,0,0,null,null,null
1110,closed,technicalpickles,employee,null,volunter,581,2,0,55,525
1111,closed,technicalpickles,employee,technicalpickles,employee,11,0,null,null,null
1114,closed,technicalpickles,employee,technicalpickles,employee,0,0,null,null,null
1115,closed,pchaigno,volunter,null,volunter,590,0,null,null,null
1116,closed,jackmawer,volunter,technicalpickles,employee,7,0,null,null,null
1119,closed,sgerrand,volunter,technicalpickles,employee,1,0,null,null,null
1120,closed,technicalpickles,employee,technicalpickles,employee,0,0,null,null,null
1121,closed,technicalpickles,employee,technicalpickles,employee,0,0,null,null,null
