id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
10,closed,carlosgaldino,volunter,josh,employee,0,0,null,null,null
100,closed,ghost,volunter,josh,employee,0,0,null,null,null
1002,closed,matthew-white,volunter,arfon,volunter,32,0,null,null,null
1003,closed,Shoelace,volunter,null,volunter,317,0,null,null,null
1005,closed,draegtun,volunter,arfon,volunter,31,0,null,null,null
1008,closed,garyb,volunter,arfon,volunter,30,0,null,null,null
101,closed,dom96,volunter,josh,employee,0,0,null,null,null
1010,closed,ghost,volunter,null,volunter,29,0,null,null,null
1011,closed,CrimsonTautology,volunter,rick,volunter,29,0,null,null,null
1014,closed,pchaigno,volunter,arfon,volunter,27,0,null,null,null
1015,closed,derekprior,volunter,null,volunter,237,0,null,null,null
1017,closed,AndrewRose,volunter,null,volunter,26,0,null,null,null
1018,closed,RyanNielson,volunter,null,volunter,3,0,null,null,null
1023,closed,Shoelace,volunter,null,volunter,203,0,null,null,null
1026,closed,pchaigno,volunter,arfon,volunter,24,0,null,null,null
1027,closed,ScrimpyCat,volunter,null,volunter,487,0,null,null,null
103,closed,timurb,volunter,josh,employee,0,0,null,null,null
1030,closed,developerinlondon,volunter,null,volunter,226,0,null,null,null
1033,closed,ScrimpyCat,volunter,null,volunter,244,1,0,214,29
1035,closed,akissinger,volunter,arfon,volunter,62,0,null,null,null
1036,closed,DX-MON,volunter,null,volunter,204,0,null,null,null
1038,closed,Jille,volunter,null,volunter,197,0,null,null,null
104,closed,earwig,volunter,josh,employee,12,0,null,null,null
1040,closed,Mikulas,volunter,arfon,volunter,20,0,null,null,null
1041,closed,Mikulas,volunter,bkeepers,employee,18,0,null,null,null
1042,closed,juliangehring,volunter,arfon,volunter,63,1,0,63,0
1045,closed,Ocramius,volunter,null,volunter,18,0,null,null,null
1046,closed,fingolfin,volunter,arfon,volunter,16,0,null,null,null
1049,closed,sebgod,volunter,arfon,volunter,15,0,null,null,null
105,closed,brynary,volunter,josh,employee,12,0,null,null,null
1052,closed,shrayasr,volunter,bkeepers,employee,14,0,null,null,null
1053,closed,prasannavl,volunter,null,volunter,74,0,null,null,null
1056,closed,spderosso,volunter,arfon,volunter,12,0,null,null,null
1060,closed,kohenkatz,volunter,arfon,volunter,11,0,null,null,null
1063,closed,lucaswerkmeister,volunter,bkeepers,employee,4,0,null,null,null
1064,closed,bkeyoumarsi,volunter,null,volunter,0,0,null,null,null
1065,closed,bkeyoumarsi,volunter,null,volunter,2,0,null,null,null
1068,closed,nkt,volunter,arfon,volunter,6,0,null,null,null
1069,closed,frank-dspeed,volunter,null,volunter,6,0,null,null,null
107,closed,thorade,volunter,josh,employee,9,0,null,null,null
1070,closed,frank-dspeed,volunter,null,volunter,0,0,null,null,null
1071,closed,jkutner,volunter,arfon,volunter,4,0,null,null,null
1072,closed,snormore,volunter,arfon,volunter,5,0,null,null,null
1073,closed,rayvector,volunter,arfon,volunter,5,0,null,null,null
1075,closed,rick,volunter,rick,volunter,0,0,null,null,null
1078,closed,wcandillon,volunter,null,volunter,1,0,null,null,null
108,closed,utkarshkukreti,volunter,josh,employee,9,0,null,null,null
1080,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1081,closed,rick,volunter,rick,volunter,0,0,null,null,null
1082,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1083,closed,rick,volunter,rick,volunter,0,0,null,null,null
1084,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1085,closed,rick,volunter,rick,volunter,0,0,null,null,null
1086,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1087,closed,rick,volunter,rick,volunter,0,0,null,null,null
1088,closed,arfon,volunter,arfon,volunter,39,0,null,null,null
1089,closed,rick,volunter,rick,volunter,0,0,null,null,null
109,closed,alokmenghrajani,volunter,josh,employee,3,0,null,null,null
1090,closed,rick,volunter,rick,volunter,0,0,null,null,null
1092,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1093,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1094,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1095,closed,wcandillon,volunter,arfon,volunter,0,0,null,null,null
1096,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1097,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1098,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
11,closed,horndude77,volunter,josh,employee,0,0,null,null,null
1100,closed,relrod,volunter,arfon,volunter,62,0,null,null,null
1101,closed,pchaigno,volunter,arfon,volunter,0,0,null,null,null
1102,closed,CNG,volunter,arfon,volunter,0,0,null,null,null
1103,closed,sebgod,volunter,arfon,volunter,0,0,null,null,null
1104,closed,sebgod,volunter,bkeepers,employee,0,0,null,null,null
1105,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1106,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1107,closed,sebgod,volunter,null,volunter,17,0,null,null,null
1108,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1109,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
111,closed,robnewman,volunter,josh,employee,0,0,null,null,null
1110,closed,arfon,volunter,arfon,volunter,0,8,0,0,0
1111,closed,jemc,volunter,null,volunter,9,0,null,null,null
1114,closed,rick,volunter,rick,volunter,0,0,null,null,null
1115,closed,sebgod,volunter,null,volunter,15,0,null,null,null
1116,closed,parkr,employee,arfon,volunter,0,4,1,0,0
1117,closed,pchaigno,volunter,null,volunter,0,0,null,null,null
1119,closed,bkeepers,employee,null,volunter,11,0,null,null,null
112,closed,sylvestre,volunter,josh,employee,25,0,null,null,null
1120,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1121,closed,arfon,volunter,arfon,volunter,0,4,0,0,0
1122,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1123,closed,garyb,volunter,arfon,volunter,0,0,null,null,null
1125,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1126,closed,paulcbetts,volunter,null,volunter,1,0,null,null,null
1128,closed,pchaigno,volunter,null,volunter,152,0,null,null,null
1129,closed,pchaigno,volunter,arfon,volunter,230,0,null,null,null
113,closed,eeue56,volunter,josh,employee,25,0,null,null,null
1130,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1132,closed,nkt,volunter,arfon,volunter,54,1,0,20,34
1135,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1136,closed,jdf,volunter,arfon,volunter,8,0,null,null,null
1137,closed,hunterwayne7,volunter,null,volunter,5,0,null,null,null
114,closed,leafo,volunter,josh,employee,25,0,null,null,null
1140,closed,Xe,volunter,null,volunter,6,0,null,null,null
1141,closed,killmous,volunter,arfon,volunter,5,0,null,null,null
1142,closed,pchaigno,volunter,arfon,volunter,5,0,null,null,null
1143,closed,pchaigno,volunter,arfon,volunter,271,4,1,216,53
1144,closed,hikari-no-yume,volunter,arfon,volunter,4,0,null,null,null
1146,closed,Rolinh,volunter,arfon,volunter,3,0,null,null,null
115,closed,abevoelker,volunter,josh,employee,24,0,null,null,null
1150,closed,Oldes,volunter,arfon,volunter,4,0,null,null,null
1155,closed,NN---,volunter,arfon,volunter,6,0,null,null,null
1156,closed,quarterto,volunter,arfon,volunter,1,0,null,null,null
1157,closed,vincentmayers,volunter,null,volunter,0,0,null,null,null
1158,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1159,closed,arfon,volunter,arfon,volunter,1,0,null,null,null
1160,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1164,closed,ghost,volunter,null,volunter,0,0,null,null,null
1165,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1166,closed,pchaigno,volunter,arfon,volunter,0,0,null,null,null
1167,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
1168,closed,arfon,volunter,arfon,volunter,0,0,null,null,null
117,closed,thomshouse,volunter,josh,employee,1,0,null,null,null
1172,closed,rick,volunter,rick,volunter,0,0,null,null,null
1174,closed,ikari-pl,volunter,null,volunter,150,0,null,null,null
1175,closed,bkeepers,employee,null,volunter,62,2,0,0,62
1178,closed,pchaigno,volunter,arfon,volunter,23,0,null,null,null
1179,closed,android-armv7a-belalang-tempur,volunter,null,volunter,25,0,null,null,null
118,closed,MeirKriheli,volunter,josh,employee,0,0,null,null,null
1181,closed,tdeitch,volunter,null,volunter,206,0,null,null,null
1183,closed,alflanagan,volunter,bkeepers,employee,0,0,null,null,null
1184,closed,sebgod,volunter,null,volunter,185,0,null,null,null
1187,closed,brianmario,employee,brianmario,employee,0,0,null,null,null
1188,closed,kaendfinger,volunter,arfon,volunter,17,0,null,null,null
1190,closed,Madsn,volunter,arfon,volunter,22,1,0,22,0
1194,closed,arfon,volunter,alindeman,volunter,8,0,null,null,null
1198,closed,ilovb,volunter,arfon,volunter,18,0,null,null,null
1199,closed,Lockhead,volunter,null,volunter,14,0,null,null,null
12,closed,Sen,volunter,null,volunter,0,0,null,null,null
120,closed,josh,employee,null,volunter,0,0,null,null,null
1200,closed,andyli,volunter,arfon,volunter,13,0,null,null,null
1203,closed,kostko,volunter,arfon,volunter,11,0,null,null,null
1206,closed,jrha,volunter,arfon,volunter,10,0,null,null,null
1208,closed,jkeirstead,volunter,arfon,volunter,9,0,null,null,null
1209,closed,jkeirstead,volunter,arfon,volunter,10,0,null,null,null
1211,closed,alindeman,volunter,alindeman,volunter,0,2,0,0,0
1212,closed,christianbundy,volunter,arfon,volunter,1,0,null,null,null
