user, site_admin, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
juliangehring,false,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
HerbertKoelman,false,0.0,0.0,0.0,0.0,1.0
zulus,false,0.0,0.0,0.0,1.0,0.0
scop,false,1.0,0.0,0.0,0.0,0.0
goodmind,false,0.0,0.0,1.0,0.0,0.0
alexlouden,false,0.0,0.0,1.0,0.0,0.0
choofie,false,0.0,0.0,1.0,0.0,0.0
meatballhat,false,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
MattDMo,false,0.3333333333333333,0.0,0.0,0.16666666666666666,0.5
bricker,false,1.0,0.0,0.0,0.0,0.0
josh-padnick,false,1.0,0.0,0.0,0.0,0.0
matthew-white,false,0.7777777777777778,0.0,0.0,0.2222222222222222,0.0
jsocol,false,0.0,0.0,1.0,0.0,0.0
jeffkreeftmeijer,false,1.0,0.0,0.0,0.0,0.0
apennebaker-ni,false,0.2777777777777778,0.0,0.0,0.7222222222222222,0.0
ktdreyer,false,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
CyberShadow,false,1.0,0.0,0.0,0.0,0.0
briandela,false,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
vszakats,false,0.6666666666666666,0.0,0.0,0.2857142857142857,0.047619047619047616
mislav,false,0.15833333333333333,0.0,0.016666666666666666,0.825,0.0
laomaiweng,false,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0
elehcim,false,1.0,0.0,0.0,0.0,0.0
phillipberndt,false,0.0,0.0,0.0,0.0,1.0
natebrennand,false,1.0,0.0,0.0,0.0,0.0
Gama11,false,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
PaulBone,false,1.0,0.0,0.0,0.0,0.0
kprevas,false,1.0,0.0,0.0,0.0,0.0
chrisarcand,false,0.0,0.0,0.0,0.0,1.0
ellemenno,false,0.7619047619047619,0.0,0.23809523809523808,0.0,0.0
fnkr,false,1.0,0.0,0.0,0.0,0.0
deadfoxygrandpa,false,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
hikari-no-yume,false,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0
aleksijuvani,false,1.0,0.0,0.0,0.0,0.0
GreatEmerald,false,1.0,0.0,0.0,0.0,0.0
ai,false,1.0,0.0,0.0,0.0,0.0
danilaml,false,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
akhtars,false,0.0,0.0,1.0,0.0,0.0
cyrille-leclerc,false,0.0,0.0,1.0,0.0,0.0
MarcianoPreciado,false,0.0,0.0,1.0,0.0,0.0
adius,false,0.0,0.0,0.0,1.0,0.0
jamiebuilds,false,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
creasty,false,1.0,0.0,0.0,0.0,0.0
lsf37,false,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
Dav1dde,false,1.0,0.0,0.0,0.0,0.0
Zlender,false,0.0,1.0,0.0,0.0,0.0
kaendfinger,false,0.6944444444444444,0.0,0.1111111111111111,0.19444444444444445,0.0
tenbits,false,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0
WestleyArgentum,false,0.0,1.0,0.0,0.0,0.0
frewsxcv,false,1.0,0.0,0.0,0.0,0.0
waywardmonkeys,false,1.0,0.0,0.0,0.0,0.0
jbrooksuk,false,0.3333333333333333,0.2,0.26666666666666666,0.13333333333333333,0.06666666666666667
3flex,false,1.0,0.0,0.0,0.0,0.0
Mailaender,false,0.39285714285714285,0.0,0.14285714285714285,0.21428571428571427,0.25
mmullis,false,0.5,0.0,0.0,0.5,0.0
stevepiercy,false,0.275,0.0,0.075,0.31666666666666665,0.3333333333333333
kohenkatz,false,1.0,0.0,0.0,0.0,0.0
miksen,false,0.0,0.0,0.0,1.0,0.0
siegy22,false,1.0,0.0,0.0,0.0,0.0
evanmiller,false,0.0,0.0,0.0,1.0,0.0
izuzak,false,1.0,0.0,0.0,0.0,0.0
johnjcamilleri,false,0.3333333333333333,0.13333333333333333,0.4666666666666667,0.0,0.06666666666666667
manveru,false,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
olivergondza,false,0.0,1.0,0.0,0.0,0.0
matiasinsaurralde,false,1.0,0.0,0.0,0.0,0.0
redroot,false,1.0,0.0,0.0,0.0,0.0
MartinNowak,false,0.0,0.0,1.0,0.0,0.0
alindeman,false,0.16666666666666666,0.09523809523809523,0.0,0.3619047619047619,0.3761904761904762
kepstin,false,0.0,0.0,0.0,1.0,0.0
diekmann,false,1.0,0.0,0.0,0.0,0.0
mlrawlings,false,0.0,0.0,1.0,0.0,0.0
jrha,false,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
talentdeficit,false,0.0,0.0,1.0,0.0,0.0
mathewmariani,false,0.0,0.0,1.0,0.0,0.0
grindhold,false,1.0,0.0,0.0,0.0,0.0
TingPing,false,1.0,0.0,0.0,0.0,0.0
chochos,false,1.0,0.0,0.0,0.0,0.0
DoctorWhoof,false,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
Oldes,false,0.0,0.3,0.3,0.4,0.0
PulsarBlow,false,0.0,0.0,0.0,1.0,0.0
metopa,false,0.23809523809523808,0.0,0.47619047619047616,0.0,0.2857142857142857
mihaip,false,0.0,0.0,0.0,1.0,0.0
sylveon,false,0.0,1.0,0.0,0.0,0.0
benbalter,false,0.0,0.0,0.09090909090909091,0.12727272727272726,0.7818181818181819
reactormonk,false,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
vivekgalatage,false,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
bb010g,false,0.0,0.0,0.0,1.0,0.0
vmg,false,0.18936044798113763,0.07353374594753904,0.1312997347480106,0.4328028293545535,0.1730032419687592
ferrall,false,0.0,0.0,1.0,0.0,0.0
KrauseFx,false,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666
josegonzalez,false,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0
Shoelace,false,0.19047619047619047,0.0,0.5238095238095238,0.0,0.2857142857142857
Gozala,false,1.0,0.0,0.0,0.0,0.0
multiprecision,false,0.0,0.0,1.0,0.0,0.0
whitten,false,0.0,0.0,0.0,0.0,1.0
humzashah,false,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
kevinjalbert,false,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
ianmjones,false,1.0,0.0,0.0,0.0,0.0
tmcw,false,0.0,1.0,0.0,0.0,0.0
pao,false,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
soonhokong,false,1.0,0.0,0.0,0.0,0.0
gjtorikian,false,0.32316118935837246,0.03129890453834116,0.16314553990610328,0.25586854460093894,0.22652582159624413
soimort,false,1.0,0.0,0.0,0.0,0.0
NN---,false,1.0,0.0,0.0,0.0,0.0
matkoniecz,false,0.3,0.3,0.4,0.0,0.0
akre54,false,0.7,0.0,0.1,0.2,0.0
