id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
1579,closed,atom-bot,bot,kevinsawicki,employee,69,1,0,69,0,"(30,180]",NA,"(30,180]",NA
1569,closed,atom-bot,bot,nathansobo,employee,0,4,0,0,0,NA,NA,NA,NA
1568,closed,atom-bot,bot,kevinsawicki,employee,72,1,0,72,0,"(30,180]",NA,"(30,180]",NA
1567,closed,atom-bot,bot,nathansobo,employee,0,1,0,0,0,NA,NA,NA,NA
1566,closed,atom-bot,bot,kevinsawicki,employee,1,1,0,1,0,"(0,1]",NA,"(0,1]",NA
1447,closed,atom-bot,bot,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
1446,closed,atom-bot,bot,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
1445,closed,atom-bot,bot,kevinsawicki,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
1442,closed,atom-bot,bot,mtodd,employee,0,2,0,0,0,NA,NA,NA,NA
1433,closed,atom-bot,bot,maxbrunsfeld,employee,1450,62,1450,0,0,"(365,Inf]","(365,Inf]",NA,NA
1427,closed,atom-bot,bot,kevinsawicki,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
1426,closed,atom-bot,bot,probablycorey,employee,0,0,null,null,null,NA,NA,NA,NA
1424,closed,atom-bot,bot,kevinsawicki,employee,5,3,5,0,0,"(1,30]","(1,30]",NA,NA
1389,closed,atom-bot,bot,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1369,closed,atom-bot,bot,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1370,closed,atom-bot,bot,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1364,closed,atom-bot,bot,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1363,closed,atom-bot,bot,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1353,closed,atom-bot,bot,probablycorey,employee,0,0,null,null,null,NA,NA,NA,NA
1352,closed,atom-bot,bot,probablycorey,employee,0,0,null,null,null,NA,NA,NA,NA
1351,closed,atom-bot,bot,probablycorey,employee,0,0,null,null,null,NA,NA,NA,NA
1338,closed,atom-bot,bot,kevinsawicki,employee,53,2,0,53,0,"(30,180]",NA,"(30,180]",NA
1331,closed,atom-bot,bot,mattgraham,volunter,0,0,null,null,null,NA,NA,NA,NA
1328,closed,atom-bot,bot,mattgraham,volunter,0,0,null,null,null,NA,NA,NA,NA
1311,closed,atom-bot,bot,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
1280,closed,atom-bot,bot,jbarnette,volunter,2,3,0,2,0,"(1,30]",NA,"(1,30]",NA
1279,closed,atom-bot,bot,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
1278,closed,atom-bot,bot,nathansobo,employee,36,4,32,4,0,"(30,180]","(30,180]","(1,30]",NA
1268,closed,atom-bot,bot,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
1267,closed,atom-bot,bot,jbarnette,volunter,10,11,8,2,0,"(1,30]","(1,30]","(1,30]",NA
1264,closed,atom-bot,bot,kevinsawicki,employee,0,2,0,0,0,NA,NA,NA,NA
1261,closed,atom-bot,bot,gjtorikian,employee,0,1,0,0,0,NA,NA,NA,NA
1255,closed,atom-bot,bot,probablycorey,employee,23,1,0,23,0,"(1,30]",NA,"(1,30]",NA
1253,closed,atom-bot,bot,probablycorey,employee,10,6,0,10,0,"(1,30]",NA,"(1,30]",NA
1252,closed,atom-bot,bot,kevinsawicki,employee,9,1,0,9,0,"(1,30]",NA,"(1,30]",NA
1251,closed,atom-bot,bot,mcolyer,employee,2,5,2,0,0,"(1,30]","(1,30]",NA,NA
1250,closed,atom-bot,bot,probablycorey,employee,27,2,4,3,19,"(1,30]","(1,30]","(1,30]","(1,30]"
1244,closed,atom-bot,bot,kevinsawicki,employee,0,3,0,0,0,NA,NA,NA,NA
1243,closed,atom-bot,bot,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
1242,closed,atom-bot,bot,jbarnette,volunter,0,2,0,0,0,NA,NA,NA,NA
1241,closed,atom-bot,bot,benogle,volunter,0,2,0,0,0,NA,NA,NA,NA
1238,closed,atom-bot,bot,kevinsawicki,employee,10,1,0,10,0,"(1,30]",NA,"(1,30]",NA
1234,closed,atom-bot,bot,benogle,volunter,4,6,4,0,0,"(1,30]","(1,30]",NA,NA
1233,closed,atom-bot,bot,benogle,volunter,5,7,6,0,1,"(1,30]","(1,30]",NA,"(0,1]"
1222,closed,atom-bot,bot,jbarnette,volunter,5,2,4,0,0,"(1,30]","(1,30]",NA,NA
1221,closed,atom-bot,bot,mcolyer,employee,0,2,0,0,0,NA,NA,NA,NA
1216,closed,atom-bot,bot,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
1215,closed,atom-bot,bot,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
1214,closed,atom-bot,bot,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
1211,closed,atom-bot,bot,kevinsawicki,employee,0,0,null,null,null,NA,NA,NA,NA
1206,closed,atom-bot,bot,probablycorey,employee,0,1,0,0,0,NA,NA,NA,NA
1205,closed,atom-bot,bot,benogle,volunter,1,1,0,1,0,"(0,1]",NA,"(0,1]",NA
1204,closed,atom-bot,bot,benbalter,employee,0,0,null,null,null,NA,NA,NA,NA
1203,closed,atom-bot,bot,kevinsawicki,employee,12,2,0,1,10,"(1,30]",NA,"(0,1]","(1,30]"
1202,closed,atom-bot,bot,benogle,volunter,1,4,0,1,0,"(0,1]",NA,"(0,1]",NA
1201,closed,atom-bot,bot,benogle,volunter,0,1,0,0,0,NA,NA,NA,NA
1200,closed,atom-bot,bot,probablycorey,employee,26,2,0,0,26,"(1,30]",NA,NA,"(1,30]"
1188,closed,atom-bot,bot,probablycorey,employee,0,1,0,0,0,NA,NA,NA,NA
1187,closed,atom-bot,bot,probablycorey,employee,3,2,0,3,0,"(1,30]",NA,"(1,30]",NA
1186,closed,atom-bot,bot,probablycorey,employee,0,0,null,null,null,NA,NA,NA,NA
1181,closed,atom-bot,bot,mcolyer,employee,4,1,0,4,0,"(1,30]",NA,"(1,30]",NA
1178,closed,atom-bot,bot,probablycorey,employee,153,3,134,18,0,"(30,180]","(30,180]","(1,30]",NA
1177,closed,atom-bot,bot,mcolyer,employee,8,1,0,8,0,"(1,30]",NA,"(1,30]",NA
1176,closed,atom-bot,bot,benogle,volunter,7,4,7,0,0,"(1,30]","(1,30]",NA,NA
1175,closed,atom-bot,bot,probablycorey,employee,0,1,0,0,0,NA,NA,NA,NA
1171,closed,atom-bot,bot,probablycorey,employee,0,0,null,null,null,NA,NA,NA,NA
