id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
17375,open,bjce,volunter,null,volunter,null,1,0,0,null,NA,NA,NA,NA
17374,closed,M1k3Comm,volunter,M1k3Comm,volunter,0,4,0,0,0,NA,NA,NA,NA
17372,open,gautamkvashisht,volunter,null,volunter,null,9,1,0,null,NA,"(0,1]",NA,NA
17371,open,rakesh491,volunter,null,volunter,null,1,0,0,null,NA,NA,NA,NA
17370,open,karthanistyr,volunter,null,volunter,null,1,0,1,null,NA,NA,"(0,1]",NA
17369,open,harmloh,volunter,null,volunter,null,1,0,1,null,NA,NA,"(0,1]",NA
17368,closed,new3943,volunter,Arcanemagus,volunter,0,1,0,0,0,NA,NA,NA,NA
17367,open,aleenaimran,volunter,null,volunter,null,1,0,2,null,NA,NA,"(1,30]",NA
17365,closed,menon95,volunter,50Wliu,volunter,0,1,0,0,0,NA,NA,NA,NA
17364,open,chbk,volunter,null,volunter,null,2,0,2,null,NA,NA,"(1,30]",NA
17360,closed,BuZZ-dEE,volunter,rsese,employee,0,1,0,0,0,NA,NA,NA,NA
17359,closed,Letni1,volunter,rsese,employee,0,1,0,0,0,NA,NA,NA,NA
17358,closed,massic80,volunter,massic80,volunter,0,1,0,0,0,NA,NA,NA,NA
17357,open,shipanmazumder,volunter,null,volunter,null,2,0,0,null,NA,NA,NA,NA
17356,open,schu-r,volunter,null,volunter,null,6,4,0,null,NA,"(1,30]",NA,NA
17355,open,artm,volunter,null,volunter,null,2,0,0,null,NA,NA,NA,NA
17353,closed,LeaVerou,volunter,50Wliu,volunter,0,1,0,0,0,NA,NA,NA,NA
17352,open,mattcollier,volunter,null,volunter,null,5,0,0,null,NA,NA,NA,NA
17349,closed,siliconblade,volunter,rsese,employee,0,1,0,0,0,NA,NA,NA,NA
17348,closed,FelixB91,volunter,FelixB91,volunter,0,2,0,0,0,NA,NA,NA,NA
17347,closed,cedricspitzer,volunter,steveward,employee,0,1,0,0,0,NA,NA,NA,NA
17346,closed,cedricspitzer,volunter,steveward,employee,0,1,0,0,0,NA,NA,NA,NA
17101,closed,j24507,volunter,rsese,employee,0,4,12,0,12,NA,"(1,30]",NA,"(1,30]"
17100,open,adityavm,volunter,null,volunter,null,2,0,1,null,NA,NA,"(0,1]",NA
17099,closed,allancth,volunter,rsese,employee,1,3,0,1,0,"(0,1]",NA,"(0,1]",NA
17098,closed,apollofernandes,volunter,rsese,employee,1,1,0,1,0,"(0,1]",NA,"(0,1]",NA
17097,closed,SreejithDeveloper,volunter,Arcanemagus,volunter,0,1,0,0,0,NA,NA,NA,NA
17096,closed,meeprakash25,volunter,Ben3eeE,volunter,0,1,0,0,0,NA,NA,NA,NA
17095,closed,Daijobou,volunter,Daijobou,volunter,3,3,0,3,0,"(1,30]",NA,"(1,30]",NA
17094,open,bidva,volunter,null,volunter,null,6,2,0,null,NA,"(1,30]",NA,NA
17093,closed,nosubstitute959,volunter,lee-dohm,employee,0,1,0,0,0,NA,NA,NA,NA
17092,closed,professorHugo,volunter,Arcanemagus,volunter,0,1,0,0,0,NA,NA,NA,NA
17091,closed,katymadier,volunter,Arcanemagus,volunter,0,1,0,0,0,NA,NA,NA,NA
17090,closed,ypossem,volunter,rsese,employee,0,1,0,0,0,NA,NA,NA,NA
17086,closed,Daijobou,volunter,rsese,employee,0,4,35,0,35,NA,"(30,180]",NA,"(30,180]"
17085,closed,EnoraNedelec,volunter,lee-dohm,employee,0,1,0,0,0,NA,NA,NA,NA
17084,closed,bidva,volunter,lee-dohm,employee,0,1,0,0,0,NA,NA,NA,NA
17083,closed,unname123,volunter,Ben3eeE,volunter,0,1,0,0,0,NA,NA,NA,NA
17082,closed,greysonn,volunter,Ben3eeE,volunter,0,1,0,0,0,NA,NA,NA,NA
17081,closed,nyanzebra,volunter,rsese,employee,4,7,4,0,0,"(1,30]","(1,30]",NA,NA
17080,closed,orschiro,volunter,orschiro,volunter,1,3,1,0,0,"(0,1]","(0,1]",NA,NA
17079,closed,G2PCraft,volunter,Ben3eeE,volunter,0,4,30,0,30,NA,"(1,30]",NA,"(1,30]"
17078,closed,matt3224,volunter,Arcanemagus,volunter,0,3,0,0,0,NA,NA,NA,NA
17077,closed,ocssor,volunter,lee-dohm,employee,0,1,0,0,0,NA,NA,NA,NA
17076,closed,WCat13,volunter,lee-dohm,employee,0,4,0,0,0,NA,NA,NA,NA
17075,closed,PhotonSphere,volunter,lee-dohm,employee,0,1,0,0,0,NA,NA,NA,NA
17074,open,iainrosen,volunter,null,volunter,null,8,8,0,null,NA,"(1,30]",NA,NA
17073,closed,rshrimp,volunter,Arcanemagus,volunter,0,1,0,0,0,NA,NA,NA,NA
14346,open,mikecousins,volunter,null,volunter,null,11,357,0,null,NA,"(180,365]",NA,NA
