"","id","state","user","employee_open","user_closed","employee_merged","days_opened","number_of_comments","days_between_first_and_last_comment","days_first_comment_after_creation","days_last_comment_before_closed","days_opened_group","days_between_first_and_last_comment_group","days_first_comment_after_creation_group","days_last_comment_before_closed_group"
"1",10034,"closed","Areadrill","volunter","null","volunter","662",2,"11","95","555","(365,Inf]","(1,30]","(30,180]","(365,Inf]"
"2",10208,"closed","paulcbetts","volunter","null","volunter","382",0,"null","null","null","(365,Inf]",NA,NA,NA
"3",10881,"closed","wiggzz","volunter","null","volunter","382",0,"null","null","null","(365,Inf]",NA,NA,NA
"4",10891,"closed","maxbrunsfeld","employee","null","volunter","418",1,"0","4","413","(365,Inf]",NA,"(1,30]","(365,Inf]"
"5",11262,"closed","iivvoo","volunter","null","volunter","376",0,"null","null","null","(365,Inf]",NA,NA,NA
"6",11399,"closed","BinaryMuse","employee","BinaryMuse","employee","558",15,"28","529","0","(365,Inf]","(1,30]","(365,Inf]",NA
"7",11581,"closed","50Wliu","volunter","null","volunter","638",0,"null","null","null","(365,Inf]",NA,NA,NA
"8",12176,"closed","thomasjo","volunter","null","volunter","439",1,"0","39","400","(365,Inf]",NA,"(30,180]","(365,Inf]"
"9",12189,"closed","Ingramz","volunter","null","volunter","499",2,"12","60","426","(365,Inf]","(1,30]","(30,180]","(365,Inf]"
"10",12783,"closed","vedharish","volunter","maxbrunsfeld","employee","469",0,"null","null","null","(365,Inf]",NA,NA,NA
"11",12834,"closed","vedharish","volunter","null","volunter","542",0,"null","null","null","(365,Inf]",NA,NA,NA
"12",2382,"closed","SeriousM","volunter","null","volunter","658",0,"null","null","null","(365,Inf]",NA,NA,NA
"13",2554,"closed","ethers","volunter","null","volunter","697",0,"null","null","null","(365,Inf]",NA,NA,NA
"14",2803,"closed","damccull","volunter","null","volunter","609",0,"null","null","null","(365,Inf]",NA,NA,NA
"15",2986,"closed","thedaniel","volunter","null","volunter","377",0,"null","null","null","(365,Inf]",NA,NA,NA
"16",3050,"closed","dsandstrom","volunter","null","volunter","799",0,"null","null","null","(365,Inf]",NA,NA,NA
