id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
10001,closed,svanharmelen,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
10010,closed,CentricStorm,volunter,null,volunter,115,0,null,null,null,"(30,180]",NA,NA,NA
10029,closed,puls,volunter,null,volunter,292,0,null,null,null,"(180,365]",NA,NA,NA
10034,closed,Areadrill,volunter,null,volunter,662,2,11,95,555,"(365,Inf]","(1,30]","(30,180]","(365,Inf]"
10035,closed,abe33,volunter,null,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
10055,closed,ysakasin,volunter,null,volunter,30,0,null,null,null,"(1,30]",NA,NA,NA
10078,closed,bengotow,volunter,null,volunter,288,0,null,null,null,"(180,365]",NA,NA,NA
10085,closed,raelyard,volunter,null,volunter,75,10,10,19,45,"(30,180]","(1,30]","(1,30]","(30,180]"
10122,closed,paradoxxxzero,volunter,null,volunter,25,0,null,null,null,"(1,30]",NA,NA,NA
10139,closed,sparanoid,volunter,as-cii,employee,16,0,null,null,null,"(1,30]",NA,NA,NA
10145,open,50Wliu,volunter,null,volunter,null,6,403,51,null,NA,"(365,Inf]","(30,180]",NA
10200,closed,WelcometomyblogJoebravo,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10208,closed,paulcbetts,volunter,null,volunter,382,0,null,null,null,"(365,Inf]",NA,NA,NA
10219,closed,pimentel,volunter,lee-dohm,employee,35,0,null,null,null,"(30,180]",NA,NA,NA
10226,closed,danielbayley,volunter,benogle,volunter,26,0,null,null,null,"(1,30]",NA,NA,NA
10256,closed,leo,volunter,lee-dohm,employee,12,0,null,null,null,"(1,30]",NA,NA,NA
10257,closed,thisiskj,volunter,lee-dohm,employee,0,0,null,null,null,NA,NA,NA,NA
10265,closed,wampiedriessen,volunter,null,volunter,269,6,21,4,243,"(180,365]","(1,30]","(1,30]","(180,365]"
10280,closed,mnquintana,volunter,mnquintana,volunter,0,0,null,null,null,NA,NA,NA,NA
1029,closed,aroben,volunter,aroben,volunter,0,0,null,null,null,NA,NA,NA,NA
10296,closed,viatsko,volunter,joshaber,employee,0,0,null,null,null,NA,NA,NA,NA
