id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
9939,closed,as-cii,employee,as-cii,employee,214,5,214,0,0,"(180,365]","(180,365]",NA,NA
9882,open,zeke,employee,null,volunter,null,6,5,0,null,NA,"(1,30]",NA,NA
9678,open,kevinsawicki,employee,null,volunter,null,0,null,null,null,NA,NA,NA,NA
9614,closed,shiftkey,employee,shiftkey,employee,1,4,1,0,0,"(0,1]","(0,1]",NA,NA
9587,closed,kevinsawicki,employee,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
9583,closed,shiftkey,employee,shiftkey,employee,101,5,252,5,156,"(30,180]","(180,365]","(1,30]","(30,180]"
9556,closed,kevinsawicki,employee,kevinsawicki,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
9493,closed,as-cii,employee,as-cii,employee,2,2,2,0,0,"(1,30]","(1,30]",NA,NA
9342,closed,kevinsawicki,employee,zcbenz,employee,177,7,145,0,31,"(30,180]","(30,180]",NA,"(30,180]"
9340,open,kevinsawicki,employee,null,volunter,null,2,0,73,null,NA,NA,"(30,180]",NA
9303,closed,kevinsawicki,employee,zcbenz,employee,95,1,0,0,95,"(30,180]",NA,NA,"(30,180]"
9247,open,joshaber,employee,null,volunter,null,1,0,263,null,NA,NA,"(180,365]",NA
9184,closed,niik,employee,niik,employee,0,1,0,0,0,NA,NA,NA,NA
12618,open,zeke,employee,null,volunter,null,3,0,0,null,NA,NA,NA,NA
9078,closed,nathansobo,employee,zcbenz,employee,75,6,101,0,26,"(30,180]","(30,180]",NA,"(1,30]"
8944,closed,nathansobo,employee,kevinsawicki,employee,20,3,17,0,3,"(1,30]","(1,30]",NA,"(1,30]"
8817,closed,kevinsawicki,employee,kevinsawicki,employee,25,1,0,25,0,"(1,30]",NA,"(1,30]",NA
8809,closed,maxbrunsfeld,employee,maxbrunsfeld,employee,90,3,90,0,0,"(30,180]","(30,180]",NA,NA
12594,open,ckerr,employee,null,volunter,null,2,0,6,null,NA,NA,"(1,30]",NA
8653,closed,kevinsawicki,employee,kevinsawicki,employee,4,2,157,2,154,"(1,30]","(30,180]","(1,30]","(30,180]"
8609,closed,groundwater,employee,kevinsawicki,employee,35,0,null,null,null,"(30,180]",NA,NA,NA
8608,closed,zcbenz,employee,zcbenz,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
8602,closed,kevinsawicki,employee,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
8601,closed,maxbrunsfeld,employee,kevinsawicki,employee,6,0,null,null,null,"(1,30]",NA,NA,NA
8499,closed,kevinsawicki,employee,kevinsawicki,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
8378,closed,kevinsawicki,employee,kevinsawicki,employee,1,3,1,0,0,"(0,1]","(0,1]",NA,NA
12543,open,ckerr,employee,null,volunter,null,0,null,null,null,NA,NA,NA,NA
8117,open,niik,employee,null,volunter,null,4,418,0,null,NA,"(365,Inf]",NA,NA
