id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
100,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10015,closed,kevinsawicki,employee,kevinsawicki,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
1002,closed,zcbenz,employee,zcbenz,employee,15,0,null,null,null,"(1,30]",NA,NA,NA
10048,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null,NA,NA,NA,NA
10049,closed,zeke,employee,kevinsawicki,employee,0,0,null,null,null,NA,NA,NA,NA
10050,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null,NA,NA,NA,NA
10058,closed,zeke,employee,zeke,employee,0,0,null,null,null,NA,NA,NA,NA
10070,closed,zcbenz,employee,zcbenz,employee,10,0,null,null,null,"(1,30]",NA,NA,NA
10071,closed,joshaber,employee,kevinsawicki,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10085,closed,zeke,employee,zeke,employee,4,0,null,null,null,"(1,30]",NA,NA,NA
1009,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10099,closed,zcbenz,employee,zcbenz,employee,6,0,null,null,null,"(1,30]",NA,NA,NA
101,closed,zcbenz,employee,zcbenz,employee,4,0,null,null,null,"(1,30]",NA,NA,NA
10114,closed,jkleinsc,employee,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10116,closed,zeke,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
10125,closed,codebytere,employee,codebytere,employee,0,4,0,0,0,NA,NA,NA,NA
10126,closed,jkleinsc,employee,jkleinsc,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10127,closed,zeke,employee,zeke,employee,0,0,null,null,null,NA,NA,NA,NA
10138,closed,zeke,employee,jkleinsc,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10148,closed,jkleinsc,employee,zcbenz,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
1016,closed,zcbenz,employee,zcbenz,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10161,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10162,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10164,closed,jkleinsc,employee,zeke,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10166,closed,zeke,employee,jkleinsc,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10172,closed,vanessayuenn,employee,vanessayuenn,employee,7,8,2,0,4,"(1,30]","(1,30]",NA,"(1,30]"
10173,closed,zeke,employee,vanessayuenn,employee,0,0,null,null,null,NA,NA,NA,NA
10175,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10181,closed,kevinsawicki,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
1019,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10190,closed,zeke,employee,zeke,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10191,closed,codebytere,employee,zeke,employee,56,14,52,4,1,"(30,180]","(30,180]","(1,30]","(0,1]"
10198,closed,zeke,employee,null,volunter,4,0,null,null,null,"(1,30]",NA,NA,NA
10203,closed,zcbenz,employee,null,volunter,3,0,null,null,null,"(1,30]",NA,NA,NA
10204,closed,zcbenz,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
10209,closed,jkleinsc,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
10217,closed,zcbenz,employee,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10225,closed,zeke,employee,zeke,employee,0,3,0,0,0,NA,NA,NA,NA
10230,closed,zeke,employee,jkleinsc,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
10246,closed,zeke,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
10250,closed,zeke,employee,zeke,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
1026,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10266,closed,zeke,employee,zeke,employee,0,0,null,null,null,NA,NA,NA,NA
10283,closed,vanessayuenn,employee,vanessayuenn,employee,0,0,null,null,null,NA,NA,NA,NA
10289,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
1029,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10298,closed,joshaber,employee,zcbenz,employee,5,0,null,null,null,"(1,30]",NA,NA,NA
103,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10308,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10318,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10328,closed,zeke,employee,zeke,employee,0,0,null,null,null,NA,NA,NA,NA
10333,closed,zeke,employee,jkleinsc,employee,7,2,0,0,7,"(1,30]",NA,NA,"(1,30]"
10336,closed,zeke,employee,zeke,employee,44,3,31,11,1,"(30,180]","(30,180]","(1,30]","(0,1]"
1034,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10344,closed,jkleinsc,employee,jkleinsc,employee,19,0,null,null,null,"(1,30]",NA,NA,NA
10356,closed,vanessayuenn,employee,zeke,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10377,closed,zcbenz,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
10389,closed,zeke,employee,zeke,employee,0,0,null,null,null,NA,NA,NA,NA
10390,closed,jkleinsc,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
10394,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
104,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10403,closed,vanessayuenn,employee,jkleinsc,employee,33,5,0,5,28,"(30,180]",NA,"(1,30]","(1,30]"
1044,closed,zcbenz,employee,zcbenz,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
10450,closed,jkleinsc,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
10492,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
105,closed,zcbenz,employee,zcbenz,employee,4,0,null,null,null,"(1,30]",NA,NA,NA
10502,closed,jkleinsc,employee,jkleinsc,employee,11,0,null,null,null,"(1,30]",NA,NA,NA
10514,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10552,closed,codebytere,employee,codebytere,employee,0,0,null,null,null,NA,NA,NA,NA
10555,closed,zeke,employee,zeke,employee,7,0,null,null,null,"(1,30]",NA,NA,NA
10573,closed,zeke,employee,zeke,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
10585,closed,jkleinsc,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
10587,closed,jkleinsc,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
1059,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10591,closed,zeke,employee,jkleinsc,employee,0,0,null,null,null,NA,NA,NA,NA
10592,closed,zeke,employee,zeke,employee,0,0,null,null,null,NA,NA,NA,NA
10602,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10614,closed,zcbenz,employee,zeke,employee,1,2,0,0,0,"(0,1]",NA,NA,NA
