id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
1000,closed,yibuyisheng,volunter,kevinsawicki,employee,0,0,null,null,null,NA,NA,NA,NA
10003,closed,poiru,volunter,poiru,volunter,0,0,null,null,null,NA,NA,NA,NA
10004,closed,TiagoDanin,volunter,zeke,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
10008,closed,qazbnm456,volunter,kevinsawicki,employee,4,2,0,0,3,"(1,30]",NA,NA,"(1,30]"
10029,closed,gerhardberger,volunter,null,volunter,26,0,null,null,null,"(1,30]",NA,NA,NA
10046,closed,omerfarukozdemir,volunter,kevinsawicki,employee,0,0,null,null,null,NA,NA,NA,NA
10052,closed,poiru,volunter,zcbenz,employee,69,1,0,1,67,"(30,180]",NA,"(0,1]","(30,180]"
10053,closed,alespergl,volunter,alespergl,volunter,4,0,null,null,null,"(1,30]",NA,NA,NA
10062,closed,joe-re,volunter,zeke,employee,6,0,null,null,null,"(1,30]",NA,NA,NA
10075,closed,alexstrat,volunter,zcbenz,employee,3,0,null,null,null,"(1,30]",NA,NA,NA
10076,closed,alexstrat,volunter,zcbenz,employee,55,2,0,55,0,"(30,180]",NA,"(30,180]",NA
10081,closed,renaesop,volunter,zcbenz,employee,26,4,23,0,3,"(1,30]","(1,30]",NA,"(1,30]"
10089,closed,AndreasM-Avd26,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10090,closed,3n-mb,volunter,null,volunter,149,7,128,0,20,"(30,180]","(30,180]",NA,"(1,30]"
10091,closed,3n-mb,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10092,closed,3n-mb,volunter,null,volunter,74,0,null,null,null,"(30,180]",NA,NA,NA
10097,closed,liusy182,volunter,poiru,volunter,3,0,null,null,null,"(1,30]",NA,NA,NA
10103,closed,fab1an,volunter,zeke,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
10111,closed,alexeykuzmin,volunter,null,volunter,13,0,null,null,null,"(1,30]",NA,NA,NA
10113,closed,lsegal,volunter,zeke,employee,0,0,null,null,null,NA,NA,NA,NA
10131,closed,alopix,volunter,zeke,employee,0,0,null,null,null,NA,NA,NA,NA
10133,closed,MarshallOfSound,volunter,zeke,employee,0,0,null,null,null,NA,NA,NA,NA
10136,closed,robinwassen,volunter,null,volunter,33,0,null,null,null,"(30,180]",NA,NA,NA
10137,closed,miniak,volunter,null,volunter,11,3,0,0,11,"(1,30]",NA,NA,"(1,30]"
10142,closed,MarshallOfSound,volunter,jkleinsc,employee,34,4,13,0,20,"(30,180]","(1,30]",NA,"(1,30]"
10143,closed,alespergl,volunter,alespergl,volunter,0,0,null,null,null,NA,NA,NA,NA
10150,open,MarshallOfSound,volunter,null,volunter,null,12,0,44,null,NA,NA,"(30,180]",NA
10157,closed,runinspring,volunter,vanessayuenn,employee,5,0,null,null,null,"(1,30]",NA,NA,NA
10160,closed,liusy182,volunter,jkleinsc,employee,8,0,null,null,null,"(1,30]",NA,NA,NA
10183,closed,andens,volunter,zcbenz,employee,14,6,0,11,2,"(1,30]",NA,"(1,30]","(1,30]"
10187,closed,saschagehlich,volunter,null,volunter,137,0,null,null,null,"(30,180]",NA,NA,NA
10194,closed,alexeykuzmin,volunter,null,volunter,3,0,null,null,null,"(1,30]",NA,NA,NA
10205,closed,HAMIDx9,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10207,closed,alespergl,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10210,closed,smildlzj,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10213,closed,alexeykuzmin,volunter,codebytere,employee,108,19,95,3,9,"(30,180]","(30,180]","(1,30]","(1,30]"
10214,closed,psh0628,volunter,zeke,employee,21,6,0,0,20,"(1,30]",NA,NA,"(1,30]"
10215,closed,alexeykuzmin,volunter,zeke,employee,20,6,6,3,10,"(1,30]","(1,30]","(1,30]","(1,30]"
10219,closed,HAMIDx9,volunter,zcbenz,employee,14,0,null,null,null,"(1,30]",NA,NA,NA
10221,closed,MarshallOfSound,volunter,null,volunter,132,1,0,132,0,"(30,180]",NA,"(30,180]",NA
10223,closed,ajmacd,volunter,zcbenz,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
1023,closed,dcposch,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10232,closed,felixrieseberg,volunter,MarshallOfSound,volunter,14,8,13,0,0,"(1,30]","(1,30]",NA,NA
10247,closed,liusy182,volunter,null,volunter,8,4,1,7,0,"(1,30]","(0,1]","(1,30]",NA
10251,closed,leo,volunter,zeke,employee,9,14,4,0,5,"(1,30]","(1,30]",NA,"(1,30]"
10253,closed,tarruda,volunter,zcbenz,employee,2,6,1,0,1,"(1,30]","(0,1]",NA,"(0,1]"
10254,closed,zachflower,volunter,zcbenz,employee,31,5,2,29,0,"(30,180]","(1,30]","(1,30]",NA
10264,closed,tarruda,volunter,zcbenz,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
10265,closed,alexeykuzmin,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
10267,closed,alexeykuzmin,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1027,closed,fengmk2,volunter,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
10271,closed,kaylanm,volunter,zcbenz,employee,26,0,null,null,null,"(1,30]",NA,NA,NA
10273,closed,rhysd,volunter,zcbenz,employee,2,2,0,1,1,"(1,30]",NA,"(0,1]","(0,1]"
10275,closed,juturu,volunter,MarshallOfSound,volunter,3,6,0,1,1,"(1,30]",NA,"(0,1]","(0,1]"
10277,closed,alespergl,volunter,zcbenz,employee,13,0,null,null,null,"(1,30]",NA,NA,NA
10279,closed,alexeykuzmin,volunter,zcbenz,employee,5,0,null,null,null,"(1,30]",NA,NA,NA
