"","id","state","user_opened","employee_open","user_closed","employee_closed","days_opened","number_of_comments","days_between_first_and_last_comment","days_first_comment_after_creation","days_last_comment_before_closed","days_opened_group","days_between_first_and_last_comment_group","days_first_comment_after_creation_group","days_last_comment_before_closed_group"
"1",2133,"closed","IoriBranford","volunter","ttaylorr","employee","371",3,"1","1","368","(365,Inf]","(0,1]","(0,1]","(365,Inf]"
"2",2126,"closed","PavanJakhu","volunter","ttaylorr","employee","373",9,"75","0","297","(365,Inf]","(30,180]",NA,"(180,365]"
"3",2118,"closed","alexbbrown","volunter","ttaylorr","employee","378",1,"0","0","377","(365,Inf]",NA,NA,"(365,Inf]"
"4",2115,"closed","twinj","volunter","ttaylorr","employee","378",5,"378","0","0","(365,Inf]","(365,Inf]",NA,NA
"5",2030,"closed","nickbender","volunter","nickbender","volunter","408",4,"407","0","0","(365,Inf]","(365,Inf]",NA,NA
"6",2000,"closed","jfkw","volunter","ttaylorr","employee","402",9,"402","0","0","(365,Inf]","(365,Inf]",NA,NA
"7",1995,"closed","nbenty","volunter","ttaylorr","employee","403",12,"403","0","0","(365,Inf]","(365,Inf]",NA,NA
"8",1976,"closed","lacombar","volunter","ttaylorr","employee","410",2,"410","0","0","(365,Inf]","(365,Inf]",NA,NA
"9",1975,"closed","lacombar","volunter","ttaylorr","employee","410",1,"0","0","410","(365,Inf]",NA,NA,"(365,Inf]"
"10",1974,"closed","lacombar","volunter","ttaylorr","employee","410",1,"0","0","410","(365,Inf]",NA,NA,"(365,Inf]"
"11",1960,"closed","JonasT","volunter","ttaylorr","employee","415",4,"415","0","0","(365,Inf]","(365,Inf]",NA,NA
"12",1948,"closed","anshulgarg11","volunter","ttaylorr","employee","417",2,"416","1","0","(365,Inf]","(365,Inf]","(0,1]",NA
"13",1928,"closed","rderimay","volunter","ttaylorr","employee","423",8,"3","0","419","(365,Inf]","(1,30]",NA,"(365,Inf]"
"14",1923,"closed","gebi","volunter","ttaylorr","employee","424",13,"454","0","29","(365,Inf]","(365,Inf]",NA,"(1,30]"
"15",1918,"closed","mbrennan","volunter","ttaylorr","employee","427",5,"427","0","0","(365,Inf]","(365,Inf]",NA,NA
"16",1916,"closed","Daerst","volunter","ttaylorr","employee","428",7,"427","0","0","(365,Inf]","(365,Inf]",NA,NA
"17",1915,"closed","falcongreatly","volunter","ttaylorr","employee","428",5,"427","1","0","(365,Inf]","(365,Inf]","(0,1]",NA
"18",1879,"closed","MaxiMax07","volunter","ttaylorr","employee","442",3,"441","0","0","(365,Inf]","(365,Inf]",NA,NA
"19",1873,"closed","teolaz","volunter","ttaylorr","employee","447",2,"447","0","0","(365,Inf]","(365,Inf]",NA,NA
"20",1872,"closed","neslekkim","volunter","ttaylorr","employee","447",7,"447","0","0","(365,Inf]","(365,Inf]",NA,NA
"21",1871,"closed","neslekkim","volunter","ttaylorr","employee","447",5,"447","0","0","(365,Inf]","(365,Inf]",NA,NA
"22",1865,"closed","amaredeus","volunter","ttaylorr","employee","450",5,"64","4","382","(365,Inf]","(30,180]","(1,30]","(365,Inf]"
"23",1821,"closed","apetresc","volunter","ttaylorr","employee","382",16,"381","1","0","(365,Inf]","(365,Inf]","(0,1]",NA
"24",1628,"closed","ksurent","volunter","ksurent","volunter","535",3,"1","0","533","(365,Inf]","(0,1]",NA,"(365,Inf]"
"25",1554,"closed","erbanach","volunter","ttaylorr","employee","573",5,"573","0","0","(365,Inf]","(365,Inf]",NA,NA
"26",1401,"closed","dakotahawkins","volunter","larsxschneider","volunter","552",16,"551","0","0","(365,Inf]","(365,Inf]",NA,NA
"27",1238,"closed","JoabMendes","volunter","technoweenie","volunter","429",8,"417","0","11","(365,Inf]","(365,Inf]",NA,"(1,30]"
"28",1231,"closed","javabrett","volunter","ttaylorr","employee","690",2,"684","5","0","(365,Inf]","(365,Inf]","(1,30]",NA
"29",1230,"closed","mabead","volunter","mabead","volunter","718",13,"717","0","0","(365,Inf]","(365,Inf]",NA,NA
"30",1114,"closed","prashantakerkar","volunter","ttaylorr","employee","661",34,"660","1","0","(365,Inf]","(365,Inf]","(0,1]",NA
"31",1069,"closed","technoweenie","volunter","technoweenie","volunter","679",0,"null","null","null","(365,Inf]",NA,NA,NA
"32",1059,"closed","sinbad","volunter","ttaylorr","employee","774",4,"774","0","0","(365,Inf]","(365,Inf]",NA,NA
"33",1046,"closed","szigetics","volunter","ttaylorr","employee","781",2,"781","0","0","(365,Inf]","(365,Inf]",NA,NA
"34",1014,"closed","sinbad","volunter","ttaylorr","employee","788",5,"787","1","0","(365,Inf]","(365,Inf]","(0,1]",NA
"35",1011,"closed","Theologie","volunter","ttaylorr","employee","789",20,"789","0","0","(365,Inf]","(365,Inf]",NA,NA
"36",1004,"closed","jarshwah","volunter","jarshwah","volunter","668",4,"668","0","0","(365,Inf]","(365,Inf]",NA,NA
"37",1002,"closed","kilianc","volunter","ttaylorr","employee","782",19,"781","0","0","(365,Inf]","(365,Inf]",NA,NA
"38",1001,"closed","Mais316","volunter","ttaylorr","employee","794",4,"794","0","0","(365,Inf]","(365,Inf]",NA,NA
"39",1000,"closed","ygorlazaro","volunter","ttaylorr","employee","794",3,"794","0","0","(365,Inf]","(365,Inf]",NA,NA
"40",957,"closed","Klipi","volunter","ttaylorr","employee","777",9,"804","27","54","(365,Inf]","(365,Inf]","(1,30]","(30,180]"
"41",935,"closed","JTLR","volunter","ttaylorr","employee","822",6,"822","0","0","(365,Inf]","(365,Inf]",NA,NA
"42",920,"closed","xkentr","volunter","ttaylorr","employee","833",5,"833","0","0","(365,Inf]","(365,Inf]",NA,NA
"43",915,"closed","asottile","volunter","asottile","volunter","561",3,"561","0","0","(365,Inf]","(365,Inf]",NA,NA
"44",914,"closed","asottile","volunter","asottile","volunter","561",2,"560","1","0","(365,Inf]","(365,Inf]","(0,1]",NA
"45",913,"closed","asottile","volunter","ttaylorr","employee","492",3,"490","1","0","(365,Inf]","(365,Inf]","(0,1]",NA
"46",910,"closed","hh123okbb","volunter","hh123okbb","volunter","446",16,"854","0","407","(365,Inf]","(365,Inf]",NA,"(365,Inf]"
"47",899,"closed","brynn-mahsman","volunter","technoweenie","volunter","625",10,"327","1","296","(365,Inf]","(180,365]","(0,1]","(180,365]"
