id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
2993,closed,niik,employee,ttaylorr,employee,0,1,0,0,0,NA,NA,NA,NA
2599,closed,joshaber,employee,technoweenie,volunter,7,1,0,3,4,"(1,30]",NA,"(1,30]","(1,30]"
2592,closed,shiftkey,employee,technoweenie,volunter,2,2,0,0,1,"(1,30]",NA,NA,"(0,1]"
2492,closed,jonico,employee,ttaylorr,employee,2,1,0,2,0,"(1,30]",NA,"(1,30]",NA
2466,closed,ttaylorr,employee,ttaylorr,employee,22,9,104,0,82,"(1,30]","(30,180]",NA,"(30,180]"
2415,closed,ttaylorr,employee,ttaylorr,employee,61,4,55,0,5,"(30,180]","(30,180]",NA,"(1,30]"
2391,closed,ttaylorr,employee,technoweenie,volunter,83,2,79,3,0,"(30,180]","(30,180]","(1,30]",NA
2359,closed,ttaylorr,employee,ttaylorr,employee,73,1,0,1,72,"(30,180]",NA,"(0,1]","(30,180]"
2357,open,ttaylorr,employee,null,volunter,null,0,null,null,null,NA,NA,NA,NA
2146,closed,ttaylorr,employee,technoweenie,volunter,77,22,35,0,41,"(30,180]","(30,180]",NA,"(30,180]"
2141,closed,ttaylorr,employee,ttaylorr,employee,3,5,2,0,0,"(1,30]","(1,30]",NA,NA
1993,closed,gamefiend,employee,gamefiend,employee,0,2,0,0,0,NA,NA,NA,NA
1942,closed,ttaylorr,employee,technoweenie,volunter,2,2,1,1,0,"(1,30]","(0,1]","(0,1]",NA
1855,open,ttaylorr,employee,null,volunter,null,1,0,40,null,NA,NA,"(30,180]",NA
1833,open,ttaylorr,employee,null,volunter,null,0,null,null,null,NA,NA,NA,NA
1831,closed,ttaylorr,employee,technoweenie,volunter,28,1,0,28,0,"(1,30]",NA,"(1,30]",NA
1819,closed,ttaylorr,employee,ttaylorr,employee,18,0,null,null,null,"(1,30]",NA,NA,NA
1783,closed,ttaylorr,employee,technoweenie,volunter,21,12,21,0,0,"(1,30]","(1,30]",NA,NA
1781,closed,ttaylorr,employee,ttaylorr,employee,68,3,13,4,50,"(30,180]","(1,30]","(1,30]","(30,180]"
1764,closed,ttaylorr,employee,ttaylorr,employee,3,8,2,0,0,"(1,30]","(1,30]",NA,NA
1651,closed,ttaylorr,employee,ttaylorr,employee,31,11,31,0,0,"(30,180]","(30,180]",NA,NA
1640,closed,ttaylorr,employee,ttaylorr,employee,6,10,2,3,0,"(1,30]","(1,30]","(1,30]",NA
1639,closed,ttaylorr,employee,ttaylorr,employee,5,1,0,3,1,"(1,30]",NA,"(1,30]","(0,1]"
1592,open,ttaylorr,employee,null,volunter,null,6,71,6,null,NA,"(30,180]","(1,30]",NA
1425,closed,ttaylorr,employee,technoweenie,volunter,7,3,1,6,0,"(1,30]","(0,1]","(1,30]",NA
1334,closed,ttaylorr,employee,sinbad,volunter,6,7,5,0,0,"(1,30]","(1,30]",NA,NA
1272,closed,ttaylorr,employee,ttaylorr,employee,35,1,0,35,0,"(30,180]",NA,"(30,180]",NA
1264,closed,MikeNwin,employee,technoweenie,volunter,1,4,0,0,0,"(0,1]",NA,NA,NA
1053,open,rubyist,employee,null,volunter,null,1,0,1,null,NA,NA,"(0,1]",NA
938,closed,cjs,employee,technoweenie,volunter,21,2,16,0,4,"(1,30]","(1,30]",NA,"(1,30]"
819,closed,shana,employee,sschuberth,volunter,412,4,412,0,0,"(365,Inf]","(365,Inf]",NA,NA
787,closed,cjs,employee,technoweenie,volunter,296,6,1,0,295,"(180,365]","(0,1]",NA,"(180,365]"
667,closed,zoeweidz,employee,technoweenie,volunter,0,2,0,0,0,NA,NA,NA,NA
574,closed,rubyist,employee,technoweenie,volunter,373,2,373,0,0,"(365,Inf]","(365,Inf]",NA,NA
558,closed,rubyist,employee,rubyist,employee,20,0,null,null,null,"(1,30]",NA,NA,NA
533,closed,jatoben,employee,technoweenie,volunter,0,3,0,0,0,NA,NA,NA,NA
513,closed,mgriffin,employee,technoweenie,volunter,392,2,392,0,0,"(365,Inf]","(365,Inf]",NA,NA
478,closed,shana,employee,technoweenie,volunter,402,2,0,0,401,"(365,Inf]",NA,NA,"(365,Inf]"
473,closed,shana,employee,technoweenie,volunter,403,8,0,0,402,"(365,Inf]",NA,NA,"(365,Inf]"
456,closed,rubyist,employee,technoweenie,volunter,409,1,0,2,406,"(365,Inf]",NA,"(1,30]","(365,Inf]"
334,closed,rubyist,employee,technoweenie,volunter,350,1,0,350,0,"(180,365]",NA,"(180,365]",NA
314,closed,rubyist,employee,rubyist,employee,0,2,0,0,0,NA,NA,NA,NA
288,closed,bkeepers,employee,technoweenie,volunter,464,4,370,0,93,"(365,Inf]","(365,Inf]",NA,"(30,180]"
49,closed,rubyist,employee,technoweenie,volunter,315,2,565,0,250,"(180,365]","(365,Inf]",NA,"(180,365]"
169,closed,gjtorikian,employee,technoweenie,volunter,538,1,0,0,538,"(365,Inf]",NA,NA,"(365,Inf]"
167,closed,gjtorikian,employee,gjtorikian,employee,2,2,1,0,0,"(1,30]","(0,1]",NA,NA
156,closed,bkeepers,employee,technoweenie,volunter,555,3,0,0,555,"(365,Inf]",NA,NA,"(365,Inf]"
128,closed,jglovier,employee,technoweenie,volunter,0,2,0,0,0,NA,NA,NA,NA
127,closed,rubyist,employee,rubyist,employee,14,2,0,14,0,"(1,30]",NA,"(1,30]",NA
126,closed,rubyist,employee,ttaylorr,employee,646,0,null,null,null,"(365,Inf]",NA,NA,NA
125,closed,Haacked,employee,technoweenie,volunter,684,9,1089,0,404,"(365,Inf]","(365,Inf]",NA,"(365,Inf]"
124,closed,rubyist,employee,technoweenie,volunter,685,4,675,10,0,"(365,Inf]","(365,Inf]","(1,30]",NA
123,closed,rubyist,employee,technoweenie,volunter,519,1,0,519,0,"(365,Inf]",NA,"(365,Inf]",NA
117,closed,rubyist,employee,rubyist,employee,4,7,3,0,0,"(1,30]","(1,30]",NA,NA
116,closed,rubyist,employee,rubyist,employee,4,0,null,null,null,"(1,30]",NA,NA,NA
110,closed,shiftkey,employee,technoweenie,volunter,540,7,540,0,0,"(365,Inf]","(365,Inf]",NA,NA
108,closed,shiftkey,employee,technoweenie,volunter,6,3,0,0,6,"(1,30]",NA,NA,"(1,30]"
102,closed,mhagger,employee,technoweenie,volunter,237,7,237,0,0,"(180,365]","(180,365]",NA,NA
95,closed,joshaber,employee,technoweenie,volunter,9,8,7,0,1,"(1,30]","(1,30]",NA,"(0,1]"
90,closed,joshaber,employee,technoweenie,volunter,13,2,0,0,13,"(1,30]",NA,NA,"(1,30]"
89,closed,rubyist,employee,technoweenie,volunter,579,3,566,12,0,"(365,Inf]","(365,Inf]","(1,30]",NA
86,closed,joshaber,employee,joshaber,employee,12,3,12,0,0,"(1,30]","(1,30]",NA,NA
85,closed,TwP,employee,technoweenie,volunter,41,18,41,0,0,"(30,180]","(30,180]",NA,NA
83,closed,skalnik,employee,technoweenie,volunter,49,2,49,0,0,"(30,180]","(30,180]",NA,NA
82,closed,skalnik,employee,rubyist,employee,98,7,98,0,0,"(30,180]","(30,180]",NA,NA
75,closed,rubyist,employee,rubyist,employee,7,1,0,7,0,"(1,30]",NA,"(1,30]",NA
