user,hash,date,site_admin,day_of_week,period_of_day
keithduncan,4b6f9aa1a5db3bc71c3848a00d52bca68a4ebe8f,2012-08-18T21:22:02Z,TRUE,sábado,"(14,15]"
keithduncan,dde43784a6053c3cff5c50ec649d9ae7c9ce6e67,2014-07-09T20:46:47Z,TRUE,quarta-feira,"(13,14]"
keithduncan,a93d3a2818459dc27c518e91a4742690396ddba2,2014-07-24T20:29:07Z,TRUE,quinta-feira,"(13,14]"
keithduncan,b96067afef9a9fc749be7afaee8a85f0c0d9785c,2014-07-09T20:46:47Z,TRUE,quarta-feira,"(13,14]"
keithduncan,3860e70d0c8526994279f8d9fa8feecabbda3b43,2012-08-16T21:53:54Z,TRUE,quinta-feira,"(14,15]"
keithduncan,d223cc1c9aa65372417ef000ea95bcee2b893dd0,2012-08-18T21:22:02Z,TRUE,sábado,"(14,15]"
keithduncan,00d781ef7a20ed2806110c0d4a5df40de631ed98,2015-03-25T06:34:04Z,TRUE,quarta-feira,"(23,24]"
keithduncan,041b74666be1eba43b6a352ed19ac8718faf2b36,2012-08-16T21:53:54Z,TRUE,quinta-feira,"(14,15]"
kevinsawicki,688ff633a75c8df9531a1f14a8e56edfe3e3d736,2013-04-30T22:41:31Z,TRUE,terça-feira,"(15,16]"
kevinsawicki,3a9883cbb0db6a3ba7df92e24cde680d2b19c6cb,2012-01-10T00:58:49Z,TRUE,terça-feira,"(16,17]"
maddox,76f8bf08d8270677719e308ab534dd6fb932e662,2011-11-07T04:50:31Z,TRUE,segunda-feira,"(20,21]"
maddox,e284049855bfa860aa557ec628a2dff25d852c2e,2011-10-26T00:25:28Z,TRUE,quarta-feira,"(17,18]"
maddox,301b9ba1fad493acc3623c25aab2b6f22958f353,2011-10-21T15:25:22Z,TRUE,sexta-feira,"(8,9]"
maddox,a2bf4fbf458eda9c188f6edcb425b0b4f4dced48,2011-10-25T00:49:29Z,TRUE,terça-feira,"(17,18]"
benbalter,ebbd9c6664d12d85d31217aa22112c2a0ba9ac6f,2017-05-01T13:06:31Z,TRUE,segunda-feira,"(6,7]"
benbalter,2d3c94b9fdd9e6cc8ac6bf319dabc7f39fb5273c,2017-04-26T20:38:40Z,TRUE,quarta-feira,"(13,14]"
benbalter,e06099cf53df819419f1cf0fb6698fe4cb2bb8a1,2017-04-26T20:37:02Z,TRUE,quarta-feira,"(13,14]"
benbalter,81b08fc44e7aeba96c5bf6dc4dd1a0a4bc4abe75,2017-04-26T21:45:58Z,TRUE,quarta-feira,"(14,15]"
benbalter,dbe0aee03ee0a5c795534b4a08e3fa20b4fd648c,2017-04-26T20:59:08Z,TRUE,quarta-feira,"(13,14]"
gjtorikian,92818146222396983bc2f338bb63b5eaa26ef47e,2015-06-05T20:19:06Z,TRUE,sexta-feira,"(13,14]"
jnewland,3e199b389b2e4c16c5149236d15d476a38ddf73d,2011-10-26T04:08:36Z,TRUE,quarta-feira,"(21,22]"
jnewland,48a267fe1c4b7577a1de9f596a14d8852f89b682,2011-10-26T07:04:34Z,TRUE,quarta-feira,"(0,1]"
jnewland,31df0b12bd5083322186840904ea28fed75b2854,2011-10-26T03:42:07Z,TRUE,quarta-feira,"(20,21]"
jnewland,db88a4e21c5c288eef2f387aac2d9b0b5b8d016c,2011-10-26T03:57:36Z,TRUE,quarta-feira,"(20,21]"
mgriffin,1cc4e06962e22c6fa910a6df3e5a34836da855bf,2013-10-04T16:18:35Z,TRUE,sexta-feira,"(9,10]"
jdennes,27d278754b7e4383cf4d5e5ee462792016e762ac,2013-06-24T18:59:27Z,TRUE,segunda-feira,"(11,12]"
technicalpickles,7fd99fca564b1870ffe0e5d36380ea913c22081c,2015-03-13T20:18:19Z,TRUE,sexta-feira,"(13,14]"
technicalpickles,57709061782d45d1662bf79a835639d46f14b45c,2016-05-06T22:59:01Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,6bb498162ce1e627db8d26f604a1e3dcaa0bc8ed,2013-04-23T15:04:41Z,TRUE,terça-feira,"(8,9]"
technicalpickles,4c7ef3187854941b42e1e0848ed32bf6bca3c943,2016-01-09T16:40:16Z,TRUE,sábado,"(8,9]"
technicalpickles,fd1239e628cceea7ad3d17282ad4efdd9bb49531,2014-07-24T14:29:07Z,TRUE,quinta-feira,"(7,8]"
technicalpickles,ac929bad7c499acc609459f7cab6be9148392ffb,2013-12-17T02:49:31Z,TRUE,terça-feira,"(18,19]"
technicalpickles,169136a8193f637aab8fd69f6a74dd056dd21280,2013-07-07T21:32:34Z,TRUE,domingo,"(14,15]"
technicalpickles,794a06b4c1eb83c098ae98a2d4f4b5ccb2de7d51,2014-10-23T19:46:14Z,TRUE,quinta-feira,"(12,13]"
technicalpickles,a27a8451a492395efc204863ccade2b0330c2ed5,2013-04-29T21:36:13Z,TRUE,segunda-feira,"(14,15]"
technicalpickles,1dfd4f21b7ebc54ecfb3218d45d896eb267b1191,2014-10-18T21:16:15Z,TRUE,sábado,"(14,15]"
technicalpickles,a8a23963053218396146d7f1bd2ff557e434dbfc,2014-12-19T23:46:38Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,f77ec0fd634802b90c5c48fec34b7dd08d975fbf,2014-10-29T14:21:36Z,TRUE,quarta-feira,"(7,8]"
technicalpickles,b9626e81024529f1b8a9935787901c6815d26a76,2014-12-05T23:00:00Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,c01b161e5f4cb5d137fe1a90c202a0313eec3cf1,2015-08-24T16:26:46Z,TRUE,segunda-feira,"(9,10]"
technicalpickles,2bec3ff2965a4798032e37397a0dbc0885a3c12b,2014-08-22T04:31:51Z,TRUE,sexta-feira,"(21,22]"
technicalpickles,5eab111316b79df57969cfe35696c461a29760ce,2015-06-08T15:50:00Z,TRUE,segunda-feira,"(8,9]"
technicalpickles,7cc4fafa8b7731cf734072c622e21b342cf457ed,2015-03-13T21:02:03Z,TRUE,sexta-feira,"(14,15]"
technicalpickles,de5e6cddc3f747c1c4f8e562ba0c0c841a6bdd64,2015-04-03T21:47:35Z,TRUE,sexta-feira,"(14,15]"
technicalpickles,76907c0c37656bd940145c5e99e350d6f4ff0234,2014-01-13T17:08:06Z,TRUE,segunda-feira,"(9,10]"
technicalpickles,8125123739195dcdd2563961b83e1db6f525869d,2015-06-09T02:29:11Z,TRUE,terça-feira,"(19,20]"
technicalpickles,b5e6a8e9112da1fa76ed790eaf82b8b3682efa3e,2013-10-25T18:40:49Z,TRUE,sexta-feira,"(11,12]"
technicalpickles,94a1de12444ee0c4bb3b8275213a5651d8df961b,2013-07-06T14:27:35Z,TRUE,sábado,"(7,8]"
technicalpickles,3838ee136081aee3a63d00b04c7080b3f8d071bd,2012-09-21T05:14:55Z,TRUE,sexta-feira,"(22,23]"
technicalpickles,013a15f501b818145658b8ee2d033e7ce3ab6743,2014-08-19T15:02:46Z,TRUE,terça-feira,"(8,9]"
technicalpickles,51d5ca89e20abd2ed600e2c7a6135f327ea38590,2014-12-05T21:07:57Z,TRUE,sexta-feira,"(13,14]"
technicalpickles,92cc5869582673900a2c740ebe2815d6c788465d,2014-12-05T22:29:20Z,TRUE,sexta-feira,"(14,15]"
technicalpickles,b01a729b1c7520060676b732e0f8ffb69c9e7d54,2014-11-06T18:56:58Z,TRUE,quinta-feira,"(10,11]"
technicalpickles,449da81c2e6a0d39ecad67faacc13837f647de0f,2013-08-06T16:01:30Z,TRUE,terça-feira,"(9,10]"
technicalpickles,cdfc058070d435fe42a2500da3e0016dccda445d,2012-09-05T02:24:09Z,TRUE,quarta-feira,"(19,20]"
technicalpickles,420a1c3eabd7544d7d338c378cbc0046c8cccdcb,2013-03-09T20:36:46Z,TRUE,sábado,"(12,13]"
technicalpickles,ea2065072ba73231c120f0cde5e2398259e53da3,2015-09-16T00:09:47Z,TRUE,quarta-feira,"(17,18]"
technicalpickles,66ba91e581923df57e49c4ea0e1a80e74f44ec43,2014-08-22T02:12:43Z,TRUE,sexta-feira,"(19,20]"
technicalpickles,d53e399fa0a6a2f0b441aafb869d1640d12785e0,2017-06-23T21:46:29Z,TRUE,sexta-feira,"(14,15]"
technicalpickles,52e965a469c71d34e84f9d099a61ec5f1e500029,2015-08-24T16:25:57Z,TRUE,segunda-feira,"(9,10]"
technicalpickles,708a73e12f8d18518b7ae49047e77c1b322642a9,2014-08-22T00:53:18Z,TRUE,sexta-feira,"(17,18]"
technicalpickles,79a57d0b9213eaea776eb8243ce4feb744171ee0,2015-03-13T17:30:53Z,TRUE,sexta-feira,"(10,11]"
technicalpickles,f0f90342cbafd8e623190c619edc92b30badd3c6,2014-01-15T22:58:49Z,TRUE,quarta-feira,"(14,15]"
technicalpickles,6f27c3126515de49accfd972f15abbc835afd950,2013-05-02T15:10:50Z,TRUE,quinta-feira,"(8,9]"
technicalpickles,bd58793d97f8c89fcb35f51885d43a54e405097b,2013-12-07T18:55:03Z,TRUE,sábado,"(10,11]"
technicalpickles,a28d4277eae248a80737887683a8c339a818e6ae,2016-05-06T23:07:03Z,TRUE,sexta-feira,"(16,17]"
technicalpickles,2f7060a0bd355fba07a403453d2706444973cc35,2013-05-02T15:11:54Z,TRUE,quinta-feira,"(8,9]"
technicalpickles,af438b9fba4defe2a44c35462f1ab28ceab8a1cc,2015-03-13T22:04:54Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,dec4856c570f82855209dfb9b02df566953218ab,2013-12-31T22:45:42Z,TRUE,terça-feira,"(14,15]"
technicalpickles,e8482d505c4a1e0693fb090bf7decc5b41e1fc6f,2013-07-18T04:11:02Z,TRUE,quinta-feira,"(21,22]"
technicalpickles,045de148e7c9c2738a8c44224073be8e5a626462,2014-08-22T03:16:48Z,TRUE,sexta-feira,"(20,21]"
technicalpickles,5f2f1a19cdf30c4394121295142144ff227c3051,2015-03-13T20:00:21Z,TRUE,sexta-feira,"(13,14]"
technicalpickles,fb7f5fbef777ae21195556b19d59f2e53fcd2cc9,2014-08-18T15:33:30Z,TRUE,segunda-feira,"(8,9]"
technicalpickles,1b6687bff090a99755c5dba6f89b331e05f563df,2013-12-31T18:11:41Z,TRUE,terça-feira,"(10,11]"
technicalpickles,e47323f2d1ab8994908ddfa38ec0bdc7e57597a1,2013-03-29T17:49:46Z,TRUE,sexta-feira,"(10,11]"
