"","id","state","user","employee_open","user_closed","employee_merged","days_opened","number_of_comments","days_between_first_and_last_comment","days_first_comment_after_creation","days_last_comment_before_closed","days_opened_group","days_between_first_and_last_comment_group","days_first_comment_after_creation_group","days_last_comment_before_closed_group"
"1",1025,"closed","sharabash","volunter","null","volunter","731",0,"null","null","null","(365,Inf]",NA,NA,NA
"2",1031,"closed","michaelansel","volunter","null","volunter","728",0,"null","null","null","(365,Inf]",NA,NA,NA
"3",1056,"closed","brodul","volunter","null","volunter","773",0,"null","null","null","(365,Inf]",NA,NA,NA
"4",1106,"closed","gotchahn","volunter","bkeepers","employee","504",4,"14","0","489","(365,Inf]","(1,30]",NA,"(365,Inf]"
"5",1110,"closed","technicalpickles","employee","null","volunter","581",2,"0","55","525","(365,Inf]",NA,"(30,180]","(365,Inf]"
"6",1115,"closed","pchaigno","volunter","null","volunter","590",0,"null","null","null","(365,Inf]",NA,NA,NA
"7",1128,"closed","kossnocorp","volunter","null","volunter","555",0,"null","null","null","(365,Inf]",NA,NA,NA
"8",1134,"closed","ajacksified","volunter","null","volunter","540",0,"null","null","null","(365,Inf]",NA,NA,NA
"9",1136,"closed","MattHodge","volunter","null","volunter","546",2,"0","0","546","(365,Inf]",NA,NA,"(365,Inf]"
"10",1142,"closed","tuliomonteazul","volunter","null","volunter","433",1,"0","413","19","(365,Inf]",NA,"(365,Inf]","(1,30]"
"11",1150,"closed","gasolin","volunter","bkeepers","employee","406",0,"null","null","null","(365,Inf]",NA,NA,NA
"12",1151,"closed","pchaigno","volunter","bkeepers","employee","406",5,"0","0","404","(365,Inf]",NA,NA,"(365,Inf]"
"13",1154,"closed","twellspring","volunter","null","volunter","531",1,"0","434","97","(365,Inf]",NA,"(365,Inf]","(30,180]"
"14",1155,"closed","chittunoo","volunter","null","volunter","426",2,"2","423","0","(365,Inf]","(1,30]","(365,Inf]",NA
"15",1161,"closed","twellspring","volunter","bkeepers","employee","397",2,"119","0","278","(365,Inf]","(30,180]",NA,"(180,365]"
"16",1162,"closed","gasolin","volunter","null","volunter","420",0,"null","null","null","(365,Inf]",NA,NA,NA
"17",1164,"closed","vinhlh","volunter","null","volunter","420",3,"0","0","420","(365,Inf]",NA,NA,"(365,Inf]"
"18",1174,"closed","tanem","volunter","null","volunter","560",0,"null","null","null","(365,Inf]",NA,NA,NA
"19",1221,"closed","alekzonder","volunter","null","volunter","473",0,"null","null","null","(365,Inf]",NA,NA,NA
"20",612,"closed","rgbkrk","volunter","null","volunter","386",0,"null","null","null","(365,Inf]",NA,NA,NA
"21",626,"closed","joshuarubin","volunter","null","volunter","1235",0,"null","null","null","(365,Inf]",NA,NA,NA
"22",650,"closed","jasonmay","volunter","null","volunter","1200",0,"null","null","null","(365,Inf]",NA,NA,NA
"23",655,"closed","jjasghar","volunter","null","volunter","539",2,"0","253","286","(365,Inf]",NA,"(180,365]","(180,365]"
"24",670,"closed","cozmo","volunter","null","volunter","1255",4,"155","27","1072","(365,Inf]","(30,180]","(1,30]","(365,Inf]"
"25",678,"closed","ajkerr","volunter","mose","volunter","1144",3,"0","0","1143","(365,Inf]",NA,NA,"(365,Inf]"
"26",684,"closed","etoxin","volunter","null","volunter","1130",1,"0","6","1124","(365,Inf]",NA,"(1,30]","(365,Inf]"
"27",686,"closed","dancrumb","volunter","null","volunter","1128",4,"0","14","1114","(365,Inf]",NA,"(1,30]","(365,Inf]"
"28",690,"closed","william-p","volunter","null","volunter","1208",0,"null","null","null","(365,Inf]",NA,NA,NA
"29",698,"closed","milyh","volunter","null","volunter","1102",0,"null","null","null","(365,Inf]",NA,NA,NA
"30",700,"closed","technicalpickles","employee","null","volunter","1103",0,"null","null","null","(365,Inf]",NA,NA,NA
"31",710,"closed","patcon","volunter","null","volunter","593",0,"null","null","null","(365,Inf]",NA,NA,NA
"32",715,"closed","srobroek","volunter","null","volunter","1247",5,"1","258","987","(365,Inf]","(0,1]","(180,365]","(365,Inf]"
