user,hash,date,site_admin,day_of_week,period_of_day
mislav,0a8fad20408cbebcff47971c7b82c95773baebba,2012-12-04T14:57:41Z,TRUE,terça-feira,"(6,7]"
mislav,6a2d33a4b345039661ff37167bbdceaaf8875306,2015-09-21T17:04:30Z,TRUE,segunda-feira,"(10,11]"
mislav,1dfb44cff7e91d94a856e0fbf9a6fb9b5f1e55c7,2012-12-04T14:58:01Z,TRUE,terça-feira,"(6,7]"
mislav,720914b2903167adb371cd0ee06863e46ec1e210,2012-12-06T22:53:20Z,TRUE,quinta-feira,"(14,15]"
mislav,26e78c0c1b2cae7e36a48a3c45380192c3563208,2012-12-04T14:56:26Z,TRUE,terça-feira,"(6,7]"
mislav,50db6d015013921b094b8935fd4b41a2a8026dde,2012-12-04T14:58:43Z,TRUE,terça-feira,"(6,7]"
mislav,9b97d3ac8a708b43e26238d4b0af88c0045fb013,2012-12-04T14:57:18Z,TRUE,terça-feira,"(6,7]"
mislav,d3ebe1844d569436dafc628483f0d65dfdbcb2db,2012-12-04T15:20:06Z,TRUE,terça-feira,"(7,8]"
mislav,090ea576b956bc812498f99da2604e95b2e3ee70,2015-09-21T19:23:40Z,TRUE,segunda-feira,"(12,13]"
mislav,ff5ffd04827753325bc6cc737871dfd9ec82ec1c,2012-12-04T14:59:05Z,TRUE,terça-feira,"(6,7]"
mislav,2e0b854428f5a3c8fd2e26175d5e7c59d6994895,2012-12-04T14:58:22Z,TRUE,terça-feira,"(6,7]"
mislav,acb20d95cab43f8350a97812ba0e5ea62c0a525c,2012-12-06T22:04:53Z,TRUE,quinta-feira,"(14,15]"
mislav,04a2845e91e407f2846269aba19d40cf41fe1574,2012-12-06T22:19:02Z,TRUE,quinta-feira,"(14,15]"
mislav,ae753e6e88d743f47b1f43f1488e39af6baf08ca,2012-12-06T22:25:54Z,TRUE,quinta-feira,"(14,15]"
mislav,fc8492e8f751d885523f9f1494f9355c3e2e103c,2012-12-04T14:59:27Z,TRUE,terça-feira,"(6,7]"
izuzak,8afe123084ef361576c1d50ae2b0df27b227e51e,2014-02-17T16:08:51Z,TRUE,segunda-feira,"(8,9]"
izuzak,9076086d9b0d91faa823f0f559e2688702ebb678,2014-01-24T19:46:51Z,TRUE,sexta-feira,"(11,12]"
izuzak,c60328383d3f6cd5ee9480dbce5c56cdbfdc9ae5,2014-02-17T16:04:47Z,TRUE,segunda-feira,"(8,9]"
izuzak,83513977a47be77755cc7077ea7e276d98e16b0c,2014-01-24T10:42:55Z,TRUE,sexta-feira,"(2,3]"
benbalter,f03f5c1628fc291c8b0d21fec53171fad6128745,2015-08-20T19:42:50Z,TRUE,quinta-feira,"(12,13]"
benbalter,d1f90d61c538599fba836c0d38096ae3ac70b568,2015-08-20T19:25:15Z,TRUE,quinta-feira,"(12,13]"
benbalter,c9e43804d6723bddc01f5d914e6c328eac5cd03f,2015-08-26T13:26:04Z,TRUE,quarta-feira,"(6,7]"
benbalter,cb550a36623b0516262701b9cb7c4e2c1e5756aa,2015-08-20T19:30:51Z,TRUE,quinta-feira,"(12,13]"
benbalter,fbb3ab22920e2ffb305aa3e1806e8348b950e76b,2015-08-20T15:38:31Z,TRUE,quinta-feira,"(8,9]"
benbalter,fd9ce2d1cf1e738058be7f39505431a55a4ed9e6,2015-08-19T16:54:21Z,TRUE,quarta-feira,"(9,10]"
benbalter,8a7ceaa84530cc9522a4b6d597522a95574fced0,2015-08-19T17:22:31Z,TRUE,quarta-feira,"(10,11]"
benbalter,e24efad5ff0dd245c79aa624de0d1cc275cf4838,2015-08-26T18:55:37Z,TRUE,quarta-feira,"(11,12]"
benbalter,7c3e2650333f3d2ac10a48f8d41262281782e588,2015-08-26T16:31:29Z,TRUE,quarta-feira,"(9,10]"
benbalter,62a0faa729593936cfd80b3996284f12da71dbf5,2015-08-20T16:23:52Z,TRUE,quinta-feira,"(9,10]"
vmg,00a873dcc7ed88201b2a502f703e04784ddeccb8,2014-06-26T11:03:41Z,TRUE,quinta-feira,"(4,5]"
vmg,88e49ce02032db02d262bb8947eefbd30bb9915e,2012-04-09T18:28:03Z,TRUE,segunda-feira,"(11,12]"
vmg,907d3c5a3676daee59e46cfbf43a716822c47199,2014-06-26T16:17:51Z,TRUE,quinta-feira,"(9,10]"
vmg,13d1f662d1ec2bf1ce3af6eef2459f520f9701fe,2015-09-04T13:11:29Z,TRUE,sexta-feira,"(6,7]"
vmg,9d61487403c7bac7fe35ab1ffe447239f3ad82ea,2015-06-26T10:11:31Z,TRUE,sexta-feira,"(3,4]"
vmg,c5799244853d1461cf6d30a5fa6abe06f695c4c2,2014-11-16T13:25:11Z,TRUE,domingo,"(5,6]"
vmg,1fd59361b5c4ce323d633261377a9175d3f8f1f9,2014-06-25T18:26:44Z,TRUE,quarta-feira,"(11,12]"
vmg,c8171322f502f1044b700925b0104b41517ebcc7,2018-01-18T17:23:55Z,TRUE,quinta-feira,"(9,10]"
vmg,6b90f22cef66bc95153b7c1746447fac225bf472,2014-11-14T17:37:54Z,TRUE,sexta-feira,"(9,10]"
vmg,7cf63725195134f8e53abf38c2f173ca727109cf,2014-11-17T17:09:26Z,TRUE,segunda-feira,"(9,10]"
vmg,29072d6eae88b31c56cf7604e5c2aeb39afbcbda,2014-06-26T10:27:02Z,TRUE,quinta-feira,"(3,4]"
vmg,fcd26da282af3c6d8be042d40c1d8715111dd938,2014-11-02T23:43:33Z,TRUE,domingo,"(15,16]"
vmg,fcbef97e39ef2973818962558867807b2d4e31cf,2014-11-16T13:42:56Z,TRUE,domingo,"(5,6]"
vmg,ea1fc90cf5610acf6dd987af324ceab7ed78dbc0,2014-06-16T16:41:51Z,TRUE,segunda-feira,"(9,10]"
vmg,6e872c11b698d79439cd28dc320b7332558a40f3,2014-10-13T14:08:58Z,TRUE,segunda-feira,"(7,8]"
vmg,6b3ba295581ee190d1dcbbb746070986d449b181,2014-11-14T18:11:11Z,TRUE,sexta-feira,"(10,11]"
vmg,119770a0384a188b05cb056f46fa7d4fd7a13d4e,2015-06-26T10:33:37Z,TRUE,sexta-feira,"(3,4]"
vmg,f9ccac42406b7c252d5599f4cc340c9149b023cb,2015-03-24T15:36:52Z,TRUE,terça-feira,"(8,9]"
vmg,2307c2e9fc951641fc92b74c5c0d4a777257c5f0,2014-11-13T12:19:03Z,TRUE,quinta-feira,"(4,5]"
vmg,2c62da78340cc5f85f9ed444422e150e3206829b,2015-09-16T14:48:12Z,TRUE,quarta-feira,"(7,8]"
vmg,8beef260dab3eb1c4ca02d3384c77f012ae47782,2014-11-16T13:41:40Z,TRUE,domingo,"(5,6]"
vmg,4ab7bb2cbe60d70ea73250ec3e39dd1128c05b41,2012-04-09T22:38:26Z,TRUE,segunda-feira,"(15,16]"
vmg,935c8523643ac8b2e6743c5129fb68926537ee17,2014-11-14T18:05:10Z,TRUE,sexta-feira,"(10,11]"
vmg,d4e6798ba8d2b1b6ec388f2b295cfc03c60c114d,2014-11-14T17:48:19Z,TRUE,sexta-feira,"(9,10]"
vmg,75871e52ea6f27a986e85a61b958d6fc8eebab09,2014-11-14T16:39:51Z,TRUE,sexta-feira,"(8,9]"
vmg,d1297f626e9ecb81434ed7be7cc462c838665064,2012-04-29T23:05:30Z,TRUE,domingo,"(16,17]"
vmg,b80ca35b75f05ea7fb4d1d4187ff5511d50e677f,2018-01-19T11:12:02Z,TRUE,sexta-feira,"(3,4]"
vmg,cd58a30c7c29fb1a0cd4331eb7d1f36ce445bbc7,2014-06-16T14:41:58Z,TRUE,segunda-feira,"(7,8]"
vmg,dbff196b08f9fd4908eaefc87cb7489423c23489,2014-06-23T15:54:53Z,TRUE,segunda-feira,"(8,9]"
vmg,e335d48625c33acfe1a38e8f225af31649afa093,2017-11-30T15:15:48Z,TRUE,quinta-feira,"(7,8]"
vmg,6e57ca6fbc3c2ffecf555cb100622d369f6641fa,2014-11-12T17:19:10Z,TRUE,quarta-feira,"(9,10]"
vmg,709a688858f3056909871f64856c895f480cb8c0,2016-03-11T09:33:09Z,TRUE,sexta-feira,"(1,2]"
vmg,f0bd24f8100f491a806c7311f374d714bbca2731,2014-11-14T18:20:47Z,TRUE,sexta-feira,"(10,11]"
vmg,633ef5213d273f9aa05649e941c69fc9f639f72a,2012-04-09T18:46:29Z,TRUE,segunda-feira,"(11,12]"
vmg,d9be472ccb22ef2ccb5b131a80757bb9ab6c6b0c,2014-06-27T14:41:23Z,TRUE,sexta-feira,"(7,8]"
vmg,d239e71826290fdc5e85ae24eb2ca130ac10d317,2014-11-24T12:37:09Z,TRUE,segunda-feira,"(4,5]"
vmg,5896bb8fa35d813902dff6a7495f3da3ec2f32f2,2014-06-24T15:52:43Z,TRUE,terça-feira,"(8,9]"
vmg,bce31e8b515ae77e962fcda54cffa54b67a059ce,2014-11-19T17:12:07Z,TRUE,quarta-feira,"(9,10]"
vmg,d12aff97764b41eb3fee93ee8618b79b3a916820,2014-11-02T23:44:36Z,TRUE,domingo,"(15,16]"
vmg,d0cf88355828d78a59d29101e4f01e35aec2900e,2014-09-11T11:22:24Z,TRUE,quinta-feira,"(4,5]"
vmg,e0703ac435fff858f383fc13545fef279218c6a2,2012-06-20T19:22:30Z,TRUE,quarta-feira,"(12,13]"
