"","id","state","user_opened","employee_open","user_closed","employee_closed","days_opened","number_of_comments","days_between_first_and_last_comment","days_first_comment_after_creation","days_last_comment_before_closed","days_opened_group","days_between_first_and_last_comment_group","days_first_comment_after_creation_group","days_last_comment_before_closed_group"
"1",958,"closed","jessebikman","volunter","arfon","volunter","374",2,"285","88","0","(365,Inf]","(180,365]","(30,180]",NA
"2",905,"closed","Faq","volunter","arfon","volunter","400",17,"781","48","430","(365,Inf]","(365,Inf]","(30,180]","(365,Inf]"
"3",895,"closed","abitgone","volunter","arfon","volunter","375",10,"61","318","4","(365,Inf]","(30,180]","(180,365]","(1,30]"
"4",781,"closed","holtzermann17","volunter","arfon","volunter","379",5,"309","69","0","(365,Inf]","(180,365]","(30,180]",NA
"5",767,"closed","parkr","employee","arfon","volunter","443",4,"87","355","0","(365,Inf]","(30,180]","(180,365]",NA
"6",753,"closed","socksy","volunter","arfon","volunter","404",1,"0","404","0","(365,Inf]",NA,"(365,Inf]",NA
"7",747,"closed","abhibeckert","volunter","arfon","volunter","366",3,"309","56","0","(365,Inf]","(180,365]","(30,180]",NA
"8",743,"closed","benapetr","volunter","bkeepers","employee","369",10,"369","0","0","(365,Inf]","(365,Inf]",NA,NA
"9",735,"closed","Excale","volunter","arfon","volunter","373",2,"1","373","1","(365,Inf]","(0,1]","(365,Inf]","(0,1]"
"10",734,"closed","joelwilliamson","volunter","bkeepers","employee","373",1,"0","373","0","(365,Inf]",NA,"(365,Inf]",NA
"11",722,"closed","alesplin","volunter","bkeepers","employee","381",1,"0","381","0","(365,Inf]",NA,"(365,Inf]",NA
"12",720,"closed","relatedcode","volunter","bkeepers","employee","382",2,"381","0","0","(365,Inf]","(365,Inf]",NA,NA
"13",684,"closed","raffaellod","volunter","arfon","volunter","397",1,"0","51","346","(365,Inf]",NA,"(30,180]","(180,365]"
"14",670,"closed","jokki","volunter","arfon","volunter","420",46,"414","5","0","(365,Inf]","(365,Inf]","(1,30]",NA
"15",659,"closed","sjackman","volunter","sjackman","volunter","417",4,"318","98","0","(365,Inf]","(180,365]","(30,180]",NA
"16",640,"closed","VoidVolker","volunter","arfon","volunter","433",8,"359","75","0","(365,Inf]","(180,365]","(30,180]",NA
"17",630,"closed","kellertuer","volunter","arfon","volunter","436",4,"74","220","142","(365,Inf]","(30,180]","(180,365]","(30,180]"
"18",608,"closed","ktaragorn","volunter","bkeepers","employee","483",8,"392","91","0","(365,Inf]","(365,Inf]","(30,180]",NA
"19",554,"closed","khoek","volunter","bkeepers","employee","492",12,"490","1","0","(365,Inf]","(365,Inf]","(0,1]",NA
"20",537,"closed","admsyn","volunter","bkeepers","employee","413",3,"273","140","0","(365,Inf]","(180,365]","(30,180]",NA
"21",521,"closed","88Alex","volunter","bkeepers","employee","518",5,"360","157","0","(365,Inf]","(180,365]","(30,180]",NA
"22",502,"closed","michaelficarra","volunter","arfon","volunter","535",2,"23","511","0","(365,Inf]","(1,30]","(365,Inf]",NA
"23",498,"closed","borisyankov","volunter","arfon","volunter","579",13,"563","16","0","(365,Inf]","(365,Inf]","(1,30]",NA
"24",489,"closed","mcandre","volunter","bkeepers","employee","520",5,"169","350","0","(365,Inf]","(30,180]","(180,365]",NA
"25",449,"closed","dwdyer","volunter","arfon","volunter","585",4,"151","395","38","(365,Inf]","(30,180]","(365,Inf]","(30,180]"
"26",447,"closed","tucnak","volunter","arfon","volunter","617",3,"609","7","0","(365,Inf]","(365,Inf]","(1,30]",NA
