id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
1116,closed,parkr,employee,arfon,volunter,0,4,1,0,0,NA,"(0,1]",NA,NA
1119,closed,bkeepers,employee,null,volunter,11,0,null,null,null,"(1,30]",NA,NA,NA
1175,closed,bkeepers,employee,null,volunter,62,2,0,0,62,"(30,180]",NA,NA,"(30,180]"
1187,closed,brianmario,employee,brianmario,employee,0,0,null,null,null,NA,NA,NA,NA
120,closed,josh,employee,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1253,closed,brianmario,employee,brianmario,employee,0,0,null,null,null,NA,NA,NA,NA
1254,closed,brianmario,employee,brianmario,employee,0,0,null,null,null,NA,NA,NA,NA
1259,closed,brianmario,employee,arfon,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
1270,closed,brianmario,employee,brianmario,employee,0,0,null,null,null,NA,NA,NA,NA
1279,closed,jdennes,employee,arfon,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
1282,closed,kevinsawicki,employee,arfon,volunter,0,0,null,null,null,NA,NA,NA,NA
1297,closed,kevinsawicki,employee,arfon,volunter,0,0,null,null,null,NA,NA,NA,NA
1309,closed,josh,employee,vmg,employee,0,0,null,null,null,NA,NA,NA,NA
1318,closed,vmg,employee,arfon,volunter,4,16,0,0,4,"(1,30]",NA,NA,"(1,30]"
1339,closed,claytono,employee,arfon,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
1346,closed,vmg,employee,vmg,employee,0,0,null,null,null,NA,NA,NA,NA
1351,closed,vmg,employee,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1442,closed,bkeepers,employee,null,volunter,87,0,null,null,null,"(30,180]",NA,NA,NA
1515,closed,vmg,employee,vmg,employee,32,1,0,0,32,"(30,180]",NA,NA,"(30,180]"
1516,closed,bkeepers,employee,arfon,volunter,0,0,null,null,null,NA,NA,NA,NA
1537,closed,bkeepers,employee,arfon,volunter,2,0,null,null,null,"(1,30]",NA,NA,NA
1563,closed,bkeepers,employee,arfon,volunter,0,0,null,null,null,NA,NA,NA,NA
1605,closed,bkeepers,employee,arfon,volunter,0,0,null,null,null,NA,NA,NA,NA
1608,closed,bkeepers,employee,bkeepers,employee,14,4,14,0,0,"(1,30]","(1,30]",NA,NA
1609,closed,bkeepers,employee,arfon,volunter,0,0,null,null,null,NA,NA,NA,NA
1658,closed,bkeepers,employee,null,volunter,0,0,null,null,null,NA,NA,NA,NA
1663,closed,bkeepers,employee,bkeepers,employee,25,5,22,3,0,"(1,30]","(1,30]","(1,30]",NA
1683,closed,bkeepers,employee,aroben,volunter,3,5,0,3,0,"(1,30]",NA,"(1,30]",NA
1707,closed,vmg,employee,vmg,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
1709,closed,bkeepers,employee,bkeepers,employee,0,0,null,null,null,NA,NA,NA,NA
1714,closed,vmg,employee,vmg,employee,0,7,0,0,0,NA,NA,NA,NA
