user, site_admin, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
jessegrosjean,false,0.1282051282051282,0.14102564102564102,0.15384615384615385,0.3974358974358974,0.1794871794871795
ypresto,false,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
tjkohli,false,0.0,0.0,1.0,0.0,0.0
hakatashi,false,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5
simurai,false,0.1124516425152449,0.06025834371516622,0.10700937643433217,0.563657027954451,0.15662360938080563
hectorcascos,false,0.0,0.0,0.0,0.0,1.0
daxlab,false,0.0,0.0,1.0,0.0,0.0
vjeux,false,0.0,0.23809523809523808,0.0,0.0,0.7619047619047619
jbrains,false,0.0,0.0,1.0,0.0,0.0
outsideris,false,0.0,1.0,0.0,0.0,0.0
CosmicWebServices,false,0.0,0.0,1.0,0.0,0.0
sryze,false,0.0,1.0,0.0,0.0,0.0
jonrohan,false,0.06722689075630252,0.07899159663865546,0.16106442577030813,0.4176470588235294,0.2750700280112045
Connormiha,false,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
fordhurley,false,0.7,0.0,0.0,0.3,0.0
PeterDaveHello,false,0.0,0.0,1.0,0.0,0.0
Theswweet,false,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Down10,false,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
marcbachmann,false,0.0,0.0,1.0,0.0,0.0
abe33,false,0.12811387900355872,0.22953736654804271,0.3096085409252669,0.14768683274021352,0.18505338078291814
onkrot,false,0.0,0.0,1.0,0.0,0.0
casesandberg,false,0.0,0.0,1.0,0.0,0.0
joefitzgerald,false,0.10887096774193548,0.10483870967741936,0.2963709677419355,0.35080645161290325,0.13911290322580644
itsmichaelwang,false,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
avrahamruderman,false,0.0,0.0,0.0,1.0,0.0
stramel,false,0.0,0.0,1.0,0.0,0.0
hron,false,1.0,0.0,0.0,0.0,0.0
mertkahyaoglu,false,0.0,0.0,1.0,0.0,0.0
ardhipoetra,false,0.0,1.0,0.0,0.0,0.0
izuzak,false,0.10966227669839614,0.1453905333159473,0.0722823488503499,0.31377406876168124,0.35889077237362543
jglovier,false,0.0,1.0,0.0,0.0,0.0
octref,false,0.0,0.0,0.0,1.0,0.0
thomasjo,false,0.04212271973466003,0.09297954671089,0.24798231066887783,0.40055279159756774,0.21636263128800443
sophearak,false,1.0,0.0,0.0,0.0,0.0
segevfiner,false,0.0,0.6,0.4,0.0,0.0
hansonw,false,0.4666666666666667,0.26666666666666666,0.2,0.06666666666666667,0.0
proggga,false,0.0,1.0,0.0,0.0,0.0
hubot,false,0.0,0.0,0.0,1.0,0.0
UziTech,false,0.2644927536231884,0.2536231884057971,0.13768115942028986,0.18478260869565216,0.15942028985507245
kelunik,false,0.0,0.0,0.0,1.0,0.0
p-e-w,false,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
blopker,false,0.0,1.0,0.0,0.0,0.0
mutle,false,0.0,0.0,0.06666666666666667,0.4666666666666667,0.4666666666666667
m1guelpf,false,0.0,0.0,0.0,0.0,1.0
leereilly,false,0.0,0.0,0.0,0.0,1.0
anatoli26,false,0.0,0.0,0.0,0.7333333333333333,0.26666666666666666
pusateri,false,0.0,0.0,1.0,0.0,0.0
postcasio,false,0.0,0.5333333333333333,0.0,0.4666666666666667,0.0
b6pzeusbc54tvhw5jgpyw8pwz2x6gs,false,0.0,1.0,0.0,0.0,0.0
royGil,false,0.0,0.0,1.0,0.0,0.0
jeancroy,false,0.0,0.0,0.0,1.0,0.0
jrkoenig,false,0.0,1.0,0.0,0.0,0.0
adrianlee44,false,0.0,1.0,0.0,0.0,0.0
steelbrain,false,0.0,0.0,1.0,0.0,0.0
maxbrunsfeld,false,0.06936840274249577,0.1131816269087448,0.11611173207449034,0.39824113318832066,0.3030971050859484
jacekkopecky,false,0.6,0.0,0.0,0.4,0.0
gjtorikian,false,0.11327904539224382,0.07981939853261308,0.365879222768685,0.30057244215109247,0.14044989115536563
GiuseppePiscopo,false,0.047619047619047616,0.09523809523809523,0.8571428571428571,0.0,0.0
jrsconfitto,false,0.47619047619047616,0.0,0.23809523809523808,0.2857142857142857,0.0
ddavison,false,0.0,0.0,0.0,0.8181818181818182,0.18181818181818182
Ben3eeE,false,0.05550416281221091,0.15818686401480112,0.06290471785383904,0.5032377428307123,0.22016651248843663
tmunro,false,0.3333333333333333,0.0,0.4666666666666667,0.13333333333333333,0.06666666666666667
billyjanitsch,false,0.0,0.0,0.0,1.0,0.0
Bjoernsen,false,0.0,0.0,0.7,0.3,0.0
Maxhodges,false,0.0,0.5,0.5,0.0,0.0
rosston,false,0.0,1.0,0.0,0.0,0.0
absynce,false,0.0,1.0,0.0,0.0,0.0
colllin,false,0.0,0.4,0.0,0.1,0.5
mattbelland,false,0.0,0.0,1.0,0.0,0.0
jonmast,false,0.0,1.0,0.0,0.0,0.0
Positive07,false,0.0,0.0,1.0,0.0,0.0
mojombo,false,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
fscherwi,false,0.0,0.0,0.0,1.0,0.0
adzenith,false,0.0,0.1,0.5,0.4,0.0
remexre,false,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.0
thedaniel,false,0.17556810887148544,0.06348696880215689,0.10476312748748234,0.35107202465014764,0.3051097701887277
bbenoist,false,0.0,1.0,0.0,0.0,0.0
LEDfan,false,0.0,0.0,0.0,1.0,0.0
j-em,false,0.0,0.0,0.0,0.0,1.0
